Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
11	NCT02590458	Feasibility of Short Breast MRI (SBMRI) for Screening Patients at High Risk for Breast Cancer		Active, not recruiting	No Results Available	Breast Cancer	Procedure: Short Breast MRI (SBMRI)|Behavioral: Questionnaire	Sensitivity of SBMRI for Detecting Breast Cancer in High Risk Participants	M.D. Anderson Cancer Center|GE Healthcare	Female	18 Years and older   (Adult, Older Adult)	Early Phase 1	131	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening	2015-0243|NCI-2015-02031	October 26, 2015	October 2020	October 2021	October 29, 2015		May 23, 2019	University of Texas MD Anderson Cancer Center, Houston, Texas, United States		https://ClinicalTrials.gov/show/NCT02590458
12	NCT02468661	A Safety and Efficacy Study of INC280 Alone, and in Combination With Erlotinib, Compared to Chemotherapy, in Advanced/Metastatic Non-small Cell Lung Cancer Patients With EGFR Mutation and cMET Amplification		Recruiting	No Results Available	Non-Small Cell Lung Cancer	Drug: INC280 single agent|Drug: INC280 in combination with erlotinib|Drug: Platinum/pemetrexed	Phase Ib: Frequency and characteristics of Dose Limiting Toxicity (DLTs) to the INC280 and erlotinib combination|Phase Ib: Progression Free Survival (PFS)|Phase Ib: Overall Survival (OS)|Phase Ib: Number of patients with adverse events (AEs) as a measure of safety and tolerability|Phase Ib: Plasma concentration-time profiles of INC280 and pharmacokinetic parameters|Phase Ib: Plasma concentration-time profiles of erlotinib in the presence of INC280|Phase Ib: Disease Control Rate (DCR)|Phase Ib: Duration of Response (DOR)|Phase Ib: Progression-free Survival (PFS)|Phase Ib: Number of patients with serious adverse events as a measure of safety and tolerability	Novartis Pharmaceuticals|Novartis	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	135	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CINC280B2201	September 23, 2015	June 28, 2019	August 9, 2019	June 11, 2015		July 10, 2019	Los Angeles Hematology/Oncology Medical Group, Los Angeles, California, United States|University of California Irvine Medical Center Chao Family SC, Orange, California, United States|Yale School of Medicine, New Haven, Connecticut, United States|Emory University School of Medicine/Winship Cancer Institute SC-2, Atlanta, Georgia, United States|Karmanos Cancer Institute, Detroit, Michigan, United States|Henry Ford Hospital SC, Detroit, Michigan, United States|Dartmouth Hitchcock Medical Center SC, Lebanon, New Hampshire, United States|Virginia Cancer Specialists Virginia Cancer Specialists, Fairfax, Virginia, United States|Seattle Cancer Care Alliance, Seattle, Washington, United States|Novartis Investigative Site, Brussel, Belgium|Novartis Investigative Site, Charleroi, Belgium|Novartis Investigative Site, Nice Cedex 2, Alpes Maritimes, France|Novartis Investigative Site, Bordeaux, France|Novartis Investigative Site, Caen Cedex, France|Novartis Investigative Site, Marseille cedex 05, France|Novartis Investigative Site, Strasbourg Cedex, France|Novartis Investigative Site, Tübingen, Baden-Wuerttemberg, Germany|Novartis Investigative Site, Regensburg, Bavaria, Germany|Novartis Investigative Site, Gauting, Bayern, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Homburg, Germany|Novartis Investigative Site, Oldenburg, Germany|Novartis Investigative Site, Bergamo, BG, Italy|Novartis Investigative Site, Brescia, BS, Italy|Novartis Investigative Site, Meldola, FC, Italy|Novartis Investigative Site, Rozzano, MI, Italy|Novartis Investigative Site, Parma, PR, Italy|Novartis Investigative Site, Verona, VR, Italy|Novartis Investigative Site, Fukuoka-city, Fukuoka, Japan|Novartis Investigative Site, Akashi, Hyogo, Japan|Novartis Investigative Site, Sendai city, Miyagi, Japan|Novartis Investigative Site, Okayama-city, Okayama, Japan|Novartis Investigative Site, Seoul, Korea, Korea, Republic of|Novartis Investigative Site, Seoul, Korea, Republic of|NKI-AVL, Department of Thoracic-Oncology, Amsterdam, Netherlands|Novartis Investigative Site, Singapore, Singapore|Novartis Investigative Site, Sevilla, Andalucia, Spain|Novartis Investigative Site, Barcelona, Catalunya, Spain|Novartis Investigative Site, Santiago de Compostela, Galicia, Spain|Novartis Investigative Site, Madrid, Spain		https://ClinicalTrials.gov/show/NCT02468661
13	NCT02802748	Phase 0 Study of Metronomic Oral Vinorelbine and Letrozole in HR+/HER2-negative Early Breast Cancer Patients (VENTANA)		Completed	No Results Available	Breast Cancer	Drug: Oral Vinorelbine|Drug: Letrozole	Changes in the expression of the PAM50 proliferation signature upon treatment in patients defined as Luminal by PAM50|Changes in the expression of the PAM50 proliferation signature upon treatment in patients defined as Luminal by IHC and separately, in patients defined as either Luminal A or Luminal B by PAM50.|Changes in % of Ki67-positive cells (per IHC) upon treatment|Changes in the expression of angiogenic gene signature upon treatment|Changes in the expression of immune-response-related gene signature upon treatment|Changes in the expression of breast cancer related genes (contained in a 560 gene Custom CodeSet) upon treatment|Objective Response Rate (ORR) according to RECIST v1.1, assessed by ultrasound.|Safety profile	SOLTI Breast Cancer Research Group|Pierre Fabre Laboratories	Female	18 Years and older   (Adult, Older Adult)	Early Phase 1	60	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	SOLTI-1501|2015-004714-24	July 2016	January 2018	January 2018	June 16, 2016		September 20, 2018	Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Clínic de Barcelona, Barcelona, Spain|Hospital de León, León, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitari Sant Joan de Reus, Reus, Spain|Clínica Quirón Sagrado Corazón, Sevilla, Spain|Fundación Instituto Valenciano de Oncología, Valencia, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain		https://ClinicalTrials.gov/show/NCT02802748
14	NCT03718650	Total Tumor Mapping (TTM) for Resectable Pancreatic Cancer		Not yet recruiting	No Results Available	Pancreatic Cancer|Resectable Pancreatic Cancer	Drug: Pimonidazole|Procedure: Surgical Resection	Radiosensitivity Index and Degree of Pimonidazole Staining|Correlative Biomarkers	H. Lee Moffitt Cancer Center and Research Institute|Varian Medical Systems	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	10	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	MCC-19599	November 1, 2019	April 1, 2021	April 1, 2022	October 24, 2018		August 7, 2019	H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida, United States		https://ClinicalTrials.gov/show/NCT03718650
15	NCT03620201	M7824 (Anti-PD-L1/TGF-Beta TRAP) in a Window Setting in Patients With Stage II-III HER2/Neu Positive (HER2+) Breast Cancer (BC)		Recruiting	No Results Available	Malignant Neoplasm of Breast	Drug: M7824 - patients with Stage II or III HER2+ breast cancer|Drug: Chemotherapy	change in tumor-infiltrating lymphocytes (TIL) percentage pre and post M7824 therapy|Adverse Events (AE) with M7824 Therapy|Pathological Response with M7824 Therapy	M.D. Anderson Cancer Center|EMD Serono	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	20	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2017-0502|NCI-2018-01184	August 3, 2018	December 2019	December 2019	August 8, 2018		May 17, 2019	MD Anderson Cancer Center, Houston, Texas, United States		https://ClinicalTrials.gov/show/NCT03620201
16	NCT03814447	The Fourth Generation CART-cell Therapy for Refractory-Relapsed Ovarian Cancer		Not yet recruiting	No Results Available	Ovarian Cancer	Drug: anti- MESO CAR-T cells|Drug: Fludarabine|Drug: Cyclophosphamide	Adverse events (AEs) and Serious adverse event (SAEs)|Cmax|Tmax|AUC(0-30d)|Duration of Mesothelin-positive T cells in circulation|ORR|PFS|EORTC Quality-of-Life Questionnaire Core 15 Palliative Care (QLQ-C15-PAL) of patients after administration	Shanghai 6th People's Hospital|Hrain Biotechnology Co., Ltd.	Female	18 Years to 70 Years   (Adult, Older Adult)	Early Phase 1	10	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	MESO-CART	June 2019	January 2020	January 2021	January 24, 2019		May 24, 2019	Shanghai 6th People's Hospital, Shanghai, Shanghai, China		https://ClinicalTrials.gov/show/NCT03814447
17	NCT01864083	FACBC PET and PEM as a Staging Tool and Indicator of Therapeutic Response in Breast Cancer Patients		Completed	No Results Available	Breast Cancer	Procedure: Positron Emission Tomography (PET)|Drug: Fluorine-18 labeled 1-amino-3-fluorocyclobutane-1-carboxylic acid (FACBC)|Procedure: Positron emission mammography (PEM) When available|Procedure: MR	assess the diagnostic accuracy|ability of FACBC PET and PEM to determine therapeutic response to neoadjuvant chemotherapy	Memorial Sloan Kettering Cancer Center|GE Healthcare	Female	21 Years and older   (Adult, Older Adult)	Early Phase 1	30	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	11-177	May 2013	August 29, 2017	August 29, 2017	May 29, 2013		August 31, 2017	Memorial Sloan Kettering Cancer Center, New York, New York, United States		https://ClinicalTrials.gov/show/NCT01864083
18	NCT03392181	PET/MRI for the Staging of Newly Diagnosed Prostate Cancer		Recruiting	No Results Available	Prostate Cancer	Drug: 18F-DCFPyL	PET/MR versus mp-MRI for the Staging of Newly Diagnosed Prostate Cancer	Northwestern University|Progenics Pharmaceuticals, Inc.	Male	18 Years to 89 Years   (Adult, Older Adult)	Early Phase 1	48	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	NU 17U12|STU00205957|NCI-2018-00059	June 8, 2018	May 1, 2023	June 1, 2023	January 5, 2018		June 13, 2018	Northwestern University, Chicago, Illinois, United States		https://ClinicalTrials.gov/show/NCT03392181
19	NCT03263780	High Resolution PET-MRI Before Prostate Cancer HIFU		Active, not recruiting	No Results Available	Prostate Cancer	Drug: 18F-Fluciclovine	Number of biopsy-proven cancers that standard imaging (mpMRI) would have missed compared with high resolution diffusion-weighted imaging (DWI) PET-hrMRI on mapping MRI.|Negative biopsy rate|Rate of high grade cancer	Timothy J. Daskivich|Blue Earth Diagnostics|Cedars-Sinai Medical Center	Male	18 Years and older   (Adult, Older Adult)	Early Phase 1	20	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other	IIT2016-19-DASKIVICH-18F	December 7, 2017	December 2020	December 2020	August 28, 2017		June 20, 2019	Cedars-Sinai Medical Center, Los Angeles, California, United States	"Study Protocol", https://ClinicalTrials.gov/ProvidedDocs/80/NCT03263780/Prot_000.pdf	https://ClinicalTrials.gov/show/NCT03263780
20	NCT04011293	A Clinical Study of Anti-CD19 Chimeric Antigen Receptor T-Cell Injection (CNCT19) in the Treatment of Cluster of Differentiation 19 (CD19) Positive Relapsed or Refractory B Cell Malignancies		Recruiting	No Results Available	Relapsed or Refractory Hematological Malignancies	Biological: CNCT19	Number of participants with treatment-related adverse events as assessed by CTCAE v5.0|Overall remission rate (ORR)|Response at Day 28±3 days|Percentage of patients who achieve complete remission (CR) or complete remission with incomplete blood count recovery (CRi) (partial remission，PR) at month 6 without SCT between CNCT19 infusion and Month 6 response assessment.|Percentage of patients who achieve CR or CRi (PR) with minimal residual disease negative bone marrow.|Relapse-free survival|Progression-free survival|Percentage of patients who achieve best overall response (BOR)|Duration of remission (DOR)|Overall survival|Percentage of patient who achieve CR or CRi (PR) and then proceed to stem cell transplantation（SCT） while in remission.|Proportion of patients with detectable replication competent lentivirus (RCL) by vesicular stomatitis virus, glycoprotein (VSV-G)	Shandong University|Juventas Cell Therapy Ltd.	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	20	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	HY001003	July 2019	July 2020	April 2022	July 8, 2019		July 8, 2019	Qilu Hospital of Shandong University, Jinan, Shandong, China		https://ClinicalTrials.gov/show/NCT04011293
21	NCT03514121	FPA150 in Patients With Advanced Solid Tumors	FPA150-001	Recruiting	No Results Available	Breast Cancer|Ovarian Cancer|Endometrial Cancer|Advanced Solid Tumors	Biological: FPA150|Biological: Pembrolizumab	For Phase 1a dose escalation, to determine the Maximum Tolerated Dose (MTD) and/or Recommended Dose (RD) of FPA150|For Phase 1a dose escalation, dose exploration and combination safety lead-in the number of participants with adverse events as assessed by the latest version of CTCAE|For Phase 1b, number of participants with adverse events as assessed by the latest version of CTCAE at the maximum tolerated dose (MTD) and/or recommended dose (RD) of FPA150|Area under serum concentration-time curve of FPA150 in day*µg/mL|Maximum serum concentration of FPA150 in µg/mL|Trough serum concentration of FPA150 in µg/mL|Clearance of FPA150 in mL/day/kg|Terminal Half-Life of FPA150 in day|Volume of distribution (mL/kg) of FPA150|Incidence of treatment emergent anti-FPA150 antibody response (levels in serum)	Five Prime Therapeutics, Inc.	All	18 Years to 99 Years   (Adult, Older Adult)	Early Phase 1	278	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	FPA150-001	March 27, 2018	January 2023	January 2024	May 2, 2018		July 24, 2019	Honor Health, Scottsdale, Arizona, United States|Cedars-Sinai Medical Center, Los Angeles, California, United States|UCLA, Los Angeles, California, United States|Sarcoma Oncology Research Center, Santa Monica, California, United States|Yale Cancer Center, New Haven, Connecticut, United States|Orchard Healthcare Research Inc., Skokie, Illinois, United States|Karmanos Cancer Institute, Detroit, Michigan, United States|Stephenson Cancer Center, Oklahoma City, Oklahoma, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, United States|South Texas Accelerated Research Therapeutics, San Antonio, Texas, United States|Utah Cancer Specialists, Salt Lake City, Utah, United States|Medical Oncology Associates, PS, Spokane, Washington, United States|National Cancer Center, Gyeonggi-do, Korea, Republic of|Seoul National University Bundang Hospital, Gyeonggi-do, Korea, Republic of|Severance Hospital, Seoul, Korea, Republic of|ASAN Medical Center, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of		https://ClinicalTrials.gov/show/NCT03514121
22	NCT00263185	High Dose Vit D Musculoskeletal Symptoms & Bone Density in Anastrozole-Treated Breast Cancer With Marginal Vit D Status		Completed	No Results Available	Breast Neoplasms	Dietary Supplement: Vitamin D|Dietary Supplement: Calcium carbonate|Drug: Vitamin D|Other: Placebo	To compare the effects of high dose vitamin D versus standard dose vitamin D on musculoskeletal pain in breast cancer patients receiving anastrozole when vitamin D levels are in the insufficient but not deficient range (10 to 29 ng/ml).|To evaluate the prevalence of vitamin D insufficiency/deficiency in post-menopausal women with a history of breast cancer who are treated with anastrozole and have musculoskeletal symptoms versus those who are asymptomatic.|To establish correlations between levels of vitamin D, the levels of PTH, the degree of bone loss and the severity of musculoskeletal symptoms.|To evaluate the effect of standard dose versus high dose Vitamin D replacement on bone density in post-menopausal women with a history of breast cancer who are treated with anastrozole and have musculoskeletal symptoms.	Washington University School of Medicine|AstraZeneca	Female	18 Years and older   (Adult, Older Adult)	Early Phase 1	63	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Supportive Care	05-0498 / 201012921	November 2005	November 2009	November 2009	December 7, 2005		September 22, 2014	Washington University, St. Louis, Missouri, United States		https://ClinicalTrials.gov/show/NCT00263185
23	NCT03291379	Vandetanib-eluting Radiopaque Embolic Beads in Patients With Resectable Liver Malignancies	VEROnA	Completed	No Results Available	Carcinoma, Hepatocellular|Metastatic Colorectal Cancer	Drug: BTG-002814 (vandetanib-eluting radiopaque beads)	Adverse events (AEs) related to treatment with BTG-002814 using the National Cancer Institute- Common Terminology Criteria for Adverse Events- Version 4.0 (NCI-CTCAE v4.0)|Concentration of vandetanib and N-desmethyl vandetanib in plasma following treatment with BTG-002814|Concentration of vandetanib and N-desmethyl vandetanib in resected liver tissue following treatment with BTG-002814|BTG-002814 distribution|Evaluation of histopathological features|Assessment of changes in blood flow	Biocompatibles UK Ltd	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	8	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	BTG-002814-01	May 17, 2017	April 3, 2019	April 3, 2019	September 25, 2017		July 9, 2019	University College London Hospital, Bloomsbury, London, United Kingdom		https://ClinicalTrials.gov/show/NCT03291379
24	NCT03642496	Clinical Study of ET019002-T Cell Therapy for Refractory/Relapsed B-Cell Malignancies		Not yet recruiting	No Results Available	B-Cell Malignancies	Biological: Low dose ET019002- T Cells|Biological: Middle dose ET019002- T Cells|Biological: High dose ET019002- T Cells	Maximum Tolerated Dose|Tmax of serum cytokine levels|Time to baseline for serum cytokine levels|Toxicity profile of ET019002T-cell treatment|Rate of disease response|Progression free survival(PFS)|Time to baseline for B cell level	First Affiliated Hospital Xi'an Jiaotong University|Eureka Therapeutics Inc.	All	6 Years to 80 Years   (Child, Adult, Older Adult)	Early Phase 1	18	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	XJTU1AF2018LSL-C003	August 19, 2018	August 19, 2020	September 20, 2020	August 22, 2018		August 23, 2018			https://ClinicalTrials.gov/show/NCT03642496
25	NCT04018053	A Pilot Study of 18Fluorine-Fluciclovine Positron Emission Tomography/Computed Tomography for Staging Muscle Invasive Bladder Cancer Preceding Radical Cystectomy		Not yet recruiting	No Results Available	Bladder Cancer|Urothelial Carcinoma	Drug: 18F-fluciclovine|Device: PET/CT	The agreement rate of metastatic disease status between 18F-fluciclovine-PET/CT and histopathology from radical cystectomy|The amount of 18F-fluciclovine accumulation in the primary bladder tumor on PET|The rate of detection of suspected distant metastatic disease by 18F-fluciclovine-PET/CT|18F-fluciclovine uptake on PET/CT to the presence/absence of ASCT2 and LAT1 amino acid transporters.	Dana-Farber Cancer Institute|Blue Earth Diagnostics	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	16	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	19-208	August 31, 2019	December 31, 2021	December 31, 2021	July 12, 2019		July 12, 2019	Dana Farber Cancer Institute, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT04018053
