cleaned_up_drug	class_umls
CD19-TriCAR-T/SILK	
MB-CART20.1	
GPA-TriMAR-T	
bortezomibG-CSF	
Spartalizumab	
Spartalizumab	
Spartalizumab	
Canakinumab	Interleukin 1 Receptor Antagonists|Interleukin inhibitors|IMMUNE SUPPRESSANTS
Canakinumab	Interleukin 1 Receptor Antagonists|Interleukin inhibitors|IMMUNE SUPPRESSANTS
Canakinumab	Interleukin 1 Receptor Antagonists|Interleukin inhibitors|IMMUNE SUPPRESSANTS
GadoliniumDTPA	
SacituzumabGovitecan	
Tasigna	Protein kinase inhibitors|Bcr-Abl Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
GAA/TT-peptidevaccinepoly-ICLC	
CD19-CD22CAR-T	
Anti-CD19/CD22	
Anti-CD19iCAR	
Anti-CD22	
Anti-CD19	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Burosumab	Other drugs affecting bone structure and mineralization|IMMUNOLOGICAL AGENTS,OTHER
SNX-5422	
SNX-5422	
SNX-5422	
MEDI-551	
MEDI-551	
MEDI-551	
Paclitaxel+Reparixin	
Urelumab	
enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
MSB0011359C	
Evofosfamide	
AGS-1C4D4	
AB928	
AB928	
AB928	
AB928	
IPI-549	
IPI-549	
IPI-549	
liposomaldoxorubicin	
albumin-boundpaclitaxel	
CTX-471	
SNX-5422	
SNX-5422	
SNX-5422	
ASG-5ME	
ASG-5ME	
MEDI-575	
INCB028060	
WT2725	
TriciribineMonohydrate	
TBI-1401HF10	
BelinostatWarfarin	
SAR441000	
CemiplimabREGN2810	
DoxorubicinHydrochlorideLiposome	
eRaparapamycin	
grapiprant	
grapiprantpembrolizumab	
PalloV-CC	
MDV3100	
MDV3100	
MDV3100	
MDV3100	
AR-67DB-67	
MDV3100	
MDV3100	
MDV3100	
MDV3100	
CVA21/pembrolizumab	
OMP-21M18	
OMP-21M18	
M4344	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
TB-403	
TB-403	
TB-403	
TB-403	
Hu5F9-G4	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Demcizumab	
Abraxane®	
Volitinib	
Cemiplimab	ANTINEOPLASTIC,OTHER
Cemiplimab	ANTINEOPLASTIC,OTHER
GM-CSF	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
GB226	
Fruquintinib	
Fruquintinib	
Fruquintinib	
Ridaforolimus	
Ridaforolimus	
ODM-201	
ODM-201	
ODM-201	
ODM-201	
ODM-201	
ODM-201	
ODM-201	
ODM-201	
ODM-201	
REGN3767	
cemiplimab	ANTINEOPLASTIC,OTHER
cemiplimab	ANTINEOPLASTIC,OTHER
MEDI4736Durvalumab	
rSIFN-co	
Abemaciclib	Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors
AVE0005	
AVE0005	
Binimetinib	Protein kinase inhibitors|Protein Kinase Inhibitors|ANTINEOPLASTIC,OTHER
Cabiralizumab	
nanoparticulatepaclitaxel	
SAR405838	
SAR405838	
SAR405838	
SAR405838	
Pimasertib	
Galunisertib	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
HMPL-523	
AfliberceptAVE0005	
AfliberceptAVE0005	
DocetaxelXRP6976	
Prexasertib	
BAY94-9343	
BAY94-9343	
BAY94-9343mg/kg	
BAY94-9343mg/kg	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
enfortumabvedotin	
Demcizumab	
TalimogeneLaherparepvec	
TLD1433photodynamictherapy	
MCLA-158	
SHR3680SHR3162	
REGN421SAR153192	
E7386	
E7386	
E7386	
E7386	
Abemaciclib	Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors
CYAD-101	
LY2624587	
Osimertinib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Cytochrome P450 3A Inhibitors|Breast Cancer Resistance Protein Inhibitors|Cytochrome P450 1A2 Inducers|Kinase Inhibitor|Cytochrome P450 3A4 Inducers|Kinase Inhibitors
EOC202	
Brivanib	
Brivanib	
Brivanab	
JX-594	
JX-594	
SNX-5422	
SNX-5422	
SNX-5422	
OMP-54F28Nab-PaclitaxelGemcitabine	
Vantictumab	
MVT-5873	
CC-95251	
MSC1936369B	
MSC1936369B	
MSC1936369B	
MSC1936369B	
SRF231	
cis-UCA	
TAS-114/capecitabine	
CPX-351Cytarabine	
INCMGA00012	
NK0125-FU	
LY2780301	
Alecsat	
LY2523355	
LY2523355	
olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
BLZ-100	
Xentuzumab	
Xentuzumab	
Xentuzumab	
Abemaciclib	Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors
OMP-54F28Sorafenib	
sphingosinekinase-2inhibitorABC294640	
MGAH22	
Comparator	
Comparator	
Comparator	
Comparator	
Comparator	
BLZ-100	
MM-121	
EC20	
EC20	
LY900009Escalation	
LY900009	
ODM-201	
ODM-201	
ODM-201	
PF-03084014	
PF-03084014	
tivantinib	
s-warfarin	
NEO-PV-01	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
AnetumabravtansineBAY94-9343	
LiposomalDoxorubicin	
Vantictumabpaclitaxel	
Ad/PNPfludarabinemonophosphate	
LY2523355	
LY2523355	
CS-7017	
CS-7017	
CS-7017	
LY3076226	
imexon	
ES414	
ARN-509	
ARN-509	
ARN-509	
sunitinibFOLFOX	
AbGn-7	
ADI-PEG	
AdV-tkaglatimagenebesadenovecvalacyclovir	
AZD6244	
AZD6244	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
FS118	
Nerofe	
Nerofe	
Nerofe	
CM082	
TVB-2640	
TAS3681	
IMMU-130	
TelatinibMesylate	
BrivanibCetuximab	
LTX-315	
LTX-315	
LTX-315	
LTX-315	
LTX-315	
LTX-315	
LTX-315ipilimumab	
LTX-315pembrolizumab	
IPI-926	
IPI-926	
IPI-926	
FPA144mFOLFOX6	
PF-05082566	
mg/m2	
mg/m2	
mg/m2	
mg/m2	
mg/m2	
mg/m2	
AB-16B5	
AB-16B5	
AZD8330	
AZD8330	
AZD8330	
SHR-1701	
OCV-103OCV-104	
ADH300004	
SHR-1701	
PWT33597mesylate	
RidaforolimusDalotuzumab	
Ridaforolimus	
Ridaforolimus	
Dalotuzumab	
TKI258	
TKI258	
CC-90002	
Angiocal®PRS-050-PEG40	
Pyrotinib	
SNX-5422	
SNX-5422	
SNX-5422	
TRC105chimericanti-CD105antibody	
MLN0128	
MLN0128	
MLN0128	
BLZ-100	
MEDI3726Post-Chemo	
MEDI3726Pre-Chemo	
MEDI3726EnzalutamideCombo	
CPGJ602	
MKC-1	
MKC-1	
MKC-1	
ETBX-021	
TRC093IgG1kantibody	
SNX-5422	
SNX-5422	
SNX-5422	
AZD2014	
AZD2014	
AZD2014	
AZD2014	
PF-04554878	
PF-04554878	
BBI608	
Levofolinate	
antibody	
chemotherapy	
MEN1611	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
CRA-24781	
AmphinexTPCS2a	
enzastaurinhydrochloride	
Afuresertib	
ALT-P7HM2-MMAE	
BKM120	
BKM120	
AZD5438	
AZD5438	
AZD5438	
NK012carboplatin	
BP-C1	
TivozanibAV-951FOLFOX6	
EC1456	
EC1456	
EC1456	
EC1456	
99mTc-Etarfolatide	
IMGN853	
FS-1502	
Prexasertib	
G-CSF	BLOOD FORMATION PRODUCTS|Receptor Protein Kinase Interactions|Colony stimulating factors|Leukocyte Growth Factor|Receptor Activity Modifying Protein Agonists
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
LY3023414	
LY3023414	
LY3023414	
OshadiOshadi	
MM-121	
APR-246	
APR-246	
APR-246	
APR-246	
KN026	
ABI-011	
Denenicokin	
RX108	
Perifosine	
Perifosine	
Apatinibrivoceranib	
CEP-37440	
CEP-37440	
CEP-37440	
BMS-754807	
BMS-754807	
BMS-754807	
BMS-754807	
AVB-620	
DN-101	
MVA-BN-PRO	
Nanoparticlealbumin-boundpaclitaxel	
E7974	
PSA-ActivatedPSA-PAH1	
Lapatinibanti-cancer	
Lapatinibanti-cancer	
KU-0059436AZD2281PARPinhibitor	
SGN-LIV1A	
INCMGA00012	
Epacadostat	
INCB050465	
E7974	
JNJ-212082	
Pemigatinib	
Pemigatinib	
LJM716	
TT-00420	
OMP-313M32	
BAY1251152	
MobilanM-VM3	
TrastuzumabderuxtecanDS-8201a	
triapine	
triapine	
FG-3019	
FG-3019	
MVA-BN-HER2	
JNJ-56021927	
JNJ-56021927	
IMAB027	
E7386	
E7386	
E7386	
E7386	
AZD3514	
AZD3514	
AZD3514	
AUY922	
AUY922	
AUY922	
AUY922	
AUY922	
BYL719	
BYL719	
BYL719	
BYL719	
ALECSAT	
GDC-0077	
GDC-0077	
GDC-0077	
GDC-0077	
ARV-110	
BP31510monotherapy	
BP31510chemotherapy	
PX-12	
PX-12	
CTT1403	
CTT105768Ga-PSMA-11	
liposomalhydrochloride	
GM102	
Paclitaxelcarboplatin	
XMT-1107	
FarletuzumabCarboplatin	
MLN0128	
MLN0128	
MLN0128	
LY2495655	
LY2495655	
LY2495655	
LY2495655	
PSB205	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
ABBV-011	
ABBV-181	
ABBV-181	
ARX788	
Poziotinib	
Poziotinib	
MEDI3617	
JTX-4014	
KN026	
PF-05212384gedatolisib	
Dacomitinib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER
Dacomitinib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER
JNJ-64041809	
JNJ-64041809	
M8891	
ALECSAT	
GDC-9545	
Ipatasertib	
hMAbBIWA	
hMAbBIWA	
unlabelledhMAbBIWA	
unlabelledhMAbBIWA	
unlabelledhMAbBIWA	
INCB024360	
MVA-BN-HER2	
KHK2375	
TK006	
SAR439859	
EC90KLH-FITC	
GPI-0100	
GPI-0100	
GPI-0100	
EC17Folate-FITC	
Interferon-alpha	
EPC2407crinobulin	
Tykerb	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|HER2/Neu/cerbB2 Antagonists|Protein Kinase Inhibitors|Kinase Inhibitor
Hemay022	
CP-751,871	
ALN-VSP02	
MK-8353	
GEM3PSCA	
Anthracyclinedoxorubicin	
M3541	
DHES0815A	
D-0502	
HuC242-DM4	
MM-111Herceptin	
AK112	
MEDI-573	
P1446A-05	
PazopanibGW786034	
BCD-115	
JNJ-56021927	
JNJ-56021927	
ABT-414	
ABT-414	
omaveloxolone	
omaveloxolone	
Avapritinib	
CUDC-101	
CUDC-101	
CUDC-101	
BAY94-9392	
Ipatasertib	
AromataseInhibitor	
Glucocorticoid	
Abemaciclib	Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors
ImmunotherapeuticSB719125	
AZD9833	
AZD9833palbociclib	
ImetelstatSodiumGRN163L	
BVAC-B	
Resiniferatoxin	
Resiniferatoxin	
PDR001	
PDR001	
PDR001	
PDR001	
OPB-51602	
NOX66	
AS703569/gemcitabine	
AB928	
AB928	
AB928	
AB928	
mFOLFOX	
TrastuzumabEmtansine	
LY2940680	
LY2940680	
GDC-9545	
GDC-0927	
GDC-0927	
GDC-0927	
TTI-621	
TTI-621Rituximab	
TTI-621Nivolumab	
BYL719	
BYL719	
BYL719	
BYL719	
GSK525762	
GSK525762	
GSK525762	
Abiraterone	Other hormone antagonists and related agents|Cytochrome P450 2C8 Inhibitors|Cytochrome P450 17A1 Inhibitors|ANTINEOPLASTIC HORMONES|Cytochrome P450 2D6 Inhibitors|Cytochrome P450 17A1 Inhibitor
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
OMP-54F28PaclitaxelCarboplatin	
LY2835219	
LY2835219	
LY3023414	
LY3023414	
LY3023414	
therapy	
HQP1351	
HQP1351	
OBP-301	
VM206DNA	
VM206Ad	
Perifosine	
Perifosine	
ASP1951	
LY3007113	
BYL719	
BYL719	
BYL719	
BYL719	
BKM120	
BKM120	
I-8H9	
KX2-361	
KX2-361	
KX2-361	
BAY2010112	
ABBV-621	
U3-1402	
INCMGA00012	
INCMGA00012INCB001158	
LY3295668Erbumine	
therapy	
LY3164530	
LY3164530	
LY3164530	
LY3164530	
ALIMTA	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
folic	
huMNC2-CAR44	
huMNC2-CAR44RP2D	
BEZ235Trastuzumabl/Phase	
LapatinibCapecitabine	
CNTO	
E7046	
folinicacid/5-FU/oxaliplatinmFOLFOX-6	
omeprazolebortezomib	
BOS172722	
bivatuzumabmertansine	
MAG-TN3AS15	
ADI-PEG	
TTAC-0001pembrolizumab	
123-I-MIP-1072	
111-Incapromabpendetide	
CombretastatinDiphosphateOXi4503	
Dextromethorphanhydrobromide	
AnetumabravtansineBAY94-9343	
Osimertinib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Cytochrome P450 3A Inhibitors|Breast Cancer Resistance Protein Inhibitors|Cytochrome P450 1A2 Inducers|Kinase Inhibitor|Cytochrome P450 3A4 Inducers|Kinase Inhibitors
LY2090314	
LY2090314	
LY2090314	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
ZD6474Zactima	
ZD6474Zactima	
LY2157299	
LY2157299	
LY2157299	
RMC-4630	
DS-1123	
EPO906patupilone	
mRNA-4157	
encorafenib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|BRAF Serine/Threonine Kinase Inhibitors
binimetinib	Protein kinase inhibitors|Protein Kinase Inhibitors|ANTINEOPLASTIC,OTHER
RegorafenibStivargaBAY73-4506	
Cixutumumab	
LSZ102	
LSZ102	
LSZ102	
LSZ102	
BYL719	
BYL719	
BYL719	
BYL719	
Rovalpituzumabtesirine	
AZD8835	
AZD8835	
AZD8835	
AZD8835	
AZD8835fulvestrant	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Danvatirsen	
Oleclumab	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
dalotuzumabMK0646	
trastuzumabemtansine	
MGD013	
MGD013margetuximab	
BYL719	
BYL719	
BYL719	
BYL719	
anticancerIC01	
LY3022855	
LY3022855	
PTC299	
PTC299	
GSK2110183	
GSK2110183	
AZD3514	
AZD3514	
AZD3514	
AZD2014	
AZD2014	
AZD2014	
AZD2014	
AZD8931	
AZD8931	
SGN-LIV1A	
MLN0128	
MLN0128	
MLN0128	
ASP1948	
EribulinMesylate	
Lumretuzumab	
Pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
SPI-2012	
GSK1795091	
GSK3174998	
GSK3174998	
GSK3174998	
GSK3174998	
GSK3359609	
BGJ398	
BGJ398	
BGJ398	
BGJ398	
BYL719	
BYL719	
BYL719	
BYL719	
pyrotinibcapecitabine	
DOXIL/CAELYX	
DOXIL/CAELYX	
erlotinibhydrochloride	
gemcitabinehydrochloride	
Sulfatinib	
MGCD516	
Pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
TQB2450AnlotinibHydrochioride	
RAD1901	
GemcitabineNab-paclitaxel	
E7820	
E7820	
E7820	
PRO95780	
PRO95780	
PRO95780	
AG-221	
AG-221	
rhPSMA-7.3	
ENMD-2076	
ENMD-2076	
ENMD-2076	
ENMD-2076	
ENMD-2076	
ENMD-2076	
Tucatinib	
Tucatinib	
anti-HER2antibodyinjection.R	
CVA21	
Mitomycin	ANTINEOPLASTIC ANTIBIOTICS|ANTIGLAUCOMA,OTHER|Other cytotoxic antibiotics|Alkylating Activity|Nucleic Acid Synthesis Inhibitors|Alkylating Drug
TAS-102	
TAS-102	
TAS-102	
CBL0137	
CBL0137	
CBL0137	
RAD140	
RAD140	
RAD140	
RAD140	
RAD140	
RAD140	
RG1507	
RG1507	
GDC-0980	
GDC-0980	
GDC-0980	
everolimusRAD001	
panitumumabABX-EGF	
spartalizumab	
spartalizumab	
spartalizumab	
LAG525	
LAG525	
NIR178	
capmatinib	
MCS110	
canakinumab	Interleukin 1 Receptor Antagonists|Interleukin inhibitors|IMMUNE SUPPRESSANTS
canakinumab	Interleukin 1 Receptor Antagonists|Interleukin inhibitors|IMMUNE SUPPRESSANTS
canakinumab	Interleukin 1 Receptor Antagonists|Interleukin inhibitors|IMMUNE SUPPRESSANTS
AZD1775	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
AZD1775	
TrifluridineTipiracil	
TAS-102	
TAS-102	
TAS-102	
KPG-121escalationEnzalutamide	
Taselisib	
Trastuzumabemtansine	
SorafenibNexavarBAY43-9006	
TTC-352	
Fluzoparib	
OMP-54F28	
OMP-54F28	
OMP-54F28	
Buparlisib	
KU-0059436AZD2281PARPinhibitor	
POL6326	
gemcitabinecisplatin	
E7389gemcitabinecisplatin	
AZD3759	
AZD3759	
AZD3759	
AZD3759	
ABBV-155	
ALT-803	
ALT-803	
HumanizedBispecificAntibodyMBS301	
LBH589panobinostat	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
GSK3174998	
GSK3174998	
GSK3174998	
GSK3174998	
Platinum-based	
LY01005	
CriPec®docetaxel	
Fluzoparib	
Apatinib	
Apatinib	
Apatinib	
OTS167IV	
ZEN003694	
GDC-0941	
GDC-0941	
L-DOS47	
ASP9801	
OMP-336B11	
MTIG7192A	
BEZ235MEK162	
INO-5150electroporationCELLECTRA®-5P	
INO-5150electroporationCELLECTRA®-5P	
INO-5150INO-9012electroporationCELLECTRA®-5P	
INO-5150INO-9012electroporationCELLECTRA®-5P	
AMN107STI571	
Antroquinonol	
Antroquinonol	
Antroquinonol	
GSK2141795	
GSK2141795	
EP2101	
EP2101	
ElesclomolSodium	
FOR46	
RGX-104	
Pictilisib	
FOLFOX	
FOLFOX	
dulanermin	
pLADD	
AZD5363	
AZD5363	
AZD5363	
FOLFOX	
FOLFOX	
PRO95780	
PRO95780	
PRO95780	
Gimatecan®ST-1481	
XMT-1536	
Apatinibmesylate	
SPARC1613	
Reference1613	
SunitinibSutent	
SHR9549	
Ficlatuzumab	
PF-06755992	
PF-06755990	
PF-06801591	
OB318	
AGS67E	
NEV801	
ALT-836gemcitabine	
EC20	
EC20	
HPN424	
RUTI®	
P276-00	
P276-00	
P276-00	
P276-00	
P276-00	
P276-00	
SYN004	
VXM01	
INO-3106INO-9012	
MUC1-gene-DC-CTL	
MUC1-peptide-DC-CTL	
Hemay022	
GX-188Eelectroporation	
NIZ985	
PDR001	
PDR001	
PDR001	
PDR001	
CirmtuzumabPaclitaxel	
Custirsenpaclitaxelcarboplatin	
ANG1005	
ANG1005	
MEHD7945A	
MEHD7945A	
MEHD7945A	
MEHD7945A	
BKM120MEK162	
LiposomePaclitaxel	
ridaforolimus	
ridaforolimus	
MK-0752	
MK-0752	
MK-0752	
MK-0752	
MK-0752	
MK-0752	
MK-2206	
MK-2206	
MK-2206	
MK-2206	
MK-2206	
VXM01	
LErafAON	
sunitinibmFOLFOX6	
BN83495	
BN83495	
BN83495	
BN83495	
BN83495	
BN83495	
MCLA-145	
JNJ-26481585	
ABBV-399	
PSMA	
P16-093	
STA-9090ganetespibDocetaxel	
LErafAON-ETU	
DMUC4064A	
Docetaxelmg/m^2	
Glufosfamide	
Glufosfamide	
LY3434172	
KO-947	
KO-947	
KO-947	
SCT200	
AGEN1181	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
LiposomePaclitaxelLEP-ETU	
PaclitaxelTaxol	
PD-L1t-haNK	
DM-CHOC-PEN	
AGS-22M6E	
ASG-22CE	
PG545	
PG545	
PG545	
PG545	
Monotherapy	
pegolPembrolizumabTherapy	
BPX-201vaccineAP1903	
LY2157299	
LY2157299	
LY2157299	
SHR-1501	
PSMA	
EverolimusBIBF	
ABBV-151	
ABBV-181	
ABBV-181	
AZD9496	
AZD9496	
AZD9496	
AZD9496	
AMC303	
MASCT-I	
antibody	
Chemophase	
Biologicals	
SunitinibPemetrexed	
CM082paclitaxel	
OsimertinibAZD9291	
SorafenibNexavarBAY43-9006	
MP-470	
MP-470	
amuvatinibMP-470	
IBI318	
AZD4547	
AZD4547	
AZD4547	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
AZD1775	
Vistusertib	
AZD9150	
AZD9150	
AZD9150	
Selumetinib	
tivozanibAV-951paclitaxel	
IMF-001	
Clostridiumnovyi-NT	
ABBV-368	
ABBV-181	
ABBV-181	
FOLFOX-4	
TAB08	
TAB08	
TAB08	
PF-06939999	
DSTP3086S	
Pyruvate	
Pyruvate	
CA102N	
LONSURF	Unknown Cellular or Molecular Interaction|ANTINEOPLASTIC,OTHER|Thymidylate Synthetase Inhibitors|Nucleoside Metabolic Inhibitor|Antivirals|Nucleoside Analog Antiviral|Thymidine Phosphorylase Inhibitor|Nucleic Acid Synthesis Inhibitors|Thymidine Phosphorylase Inhibitors
MM-121	
