Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
16	NCT01142661	Compassionate Use of Eribulin for the Treatment of Advanced Breast Cancer Refractory to All Other Marketed Therapies		Completed	Has Results	Breast Cancer	Drug: Eribulin Mesylate	Safety	Eisai Inc.	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	9	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	E7389-G000-399	August 2010	August 2011		June 11, 2010	September 20, 2013	September 20, 2013	La Verne, California, United States|Nyack, New York, United States|Raleigh, North Carolina, United States|Bismark, North Dakota, United States|Dallas, Texas, United States		https://ClinicalTrials.gov/show/NCT01142661
17	NCT02323854	The EMPrint™ Ablate and RESect Study in Patients With Metastatic Lung Tumors (EMPRESS)	EMPRESS	Completed	Has Results	Lung Cancer	Device: Ablation|Procedure: Surgical Resection	Dose Response|Ablation Zone Shape|Number of Participants With Complete or Incomplete Tumor Ablation	Medtronic - MITG	All	18 Years and older   (Adult, Older Adult)	Not Applicable	15	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	COVEMPR0437	January 2015	March 13, 2017	November 2017	December 24, 2014	April 5, 2018	April 5, 2018	Mayo Clinic, Rochester, Minnesota, United States|Weill Cornell Medical College, New York, New York, United States|Rhode Island Hospital, Providence, Rhode Island, United States|University Hospital Frankfurt, Frankfurt, Germany	"Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/54/NCT02323854/SAP_000.pdf|"Study Protocol", https://ClinicalTrials.gov/ProvidedDocs/54/NCT02323854/Prot_001.pdf	https://ClinicalTrials.gov/show/NCT02323854
18	NCT01957787	Study of Cryoablation for Metastatic Lung Tumors	SOLSTICE	Completed	No Results Available	Neoplasm Metastasis	Device: Cryoablation	Local tumor control for each index tumor as measured by imaging|Safety assessment	Galil Medical	All	18 Years and older   (Adult, Older Adult)	Not Applicable	134	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CUC13-LNG079	March 2014	August 7, 2017	August 20, 2018	October 8, 2013		February 8, 2019	UCLA Ronald Reagan Medical Center, Los Angeles, California, United States|Cancer Treatment Centers of America at Southeastern Regional Medical Center, Newnan, Georgia, United States|Mayo Clinic Rochester, Rochester, Minnesota, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|New York Presbyterian Hospital - Cornell Medical Center, New York, New York, United States|State University of New York at Stony Brook, Stony Brook, New York, United States|Rhode Island Hospital, Providence, Rhode Island, United States|Inova Alexandria Hospital CVIR, Alexandria, Virginia, United States|Institut Bergonié, Bordeaux, Aquitaine, France|Institut Gustave Roussy, Villejuif, Ile-de-France, France		https://ClinicalTrials.gov/show/NCT01957787
19	NCT00847509	A Multi - Center Study Of PET Imaging With [F-18] FLT & [F-18] FDG in Cancer Patients for Treatment Evaluation	FLT101	Completed	Has Results	Lung Cancer|Head and Neck Cancer	Drug: [F-18]FLT	[F-18]FLT PET Scan for Early Assessment of Tumor Response to Radiation or Chemoradiotherapy Compared to [F-18] FDG PET Scan	Siemens Molecular Imaging	All	18 Years and older   (Adult, Older Adult)	Not Applicable	49	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	FLT101	February 2009	August 2010	September 2010	February 19, 2009	September 27, 2013	September 27, 2013	Hoag Memorial Hospital, Newport Beach, California, United States|Excel Diagnostics Imaging Clinics, Houston, Texas, United States		https://ClinicalTrials.gov/show/NCT00847509
20	NCT01819948	Changes in Biomarkers of Cancer in Women With Breast Cancer and Without Evidence of Disease Who Were Given PhytoMed™		Completed	No Results Available	Breast Cancer	Dietary Supplement: PhytoMed™	Reduction in the levels of CRP|Reduction in IL-6|Increase in the levels of IL-10|Safety and tolerability (Gastrointestinal symptoms)|Pain intensity score measured with the BPI scale|Effect on lipid profile|Reduction SAA (serum amyloid A)|Reduction IFNgamma|Reduction TNF-alpha|Increase in the levels of TGFbeta (transforming growth factor beta)|Reduction in IGF (insulin growth factor)	Phytogen Medical Foods S.L.	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	46	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	Phytomed	June 2012	December 2015		March 28, 2013		February 25, 2016	Hospital Quirón, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Universitario Puerta de Hierro, Madrid, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|MD Anderson Cancer Center, Madrid, Spain		https://ClinicalTrials.gov/show/NCT01819948
21	NCT00848042	Pilot Study of AuroLase(tm) Therapy in Refractory and/or Recurrent Tumors of the Head and Neck		Completed	Has Results	Head and Neck Cancer	Device: AuroLase Therapy	Number of Participants With Any Adverse Device Effects Considered Attributable to AuroShell Particle Administration|Response in Targeted Tumors.	Nanospectra Biosciences, Inc.	All	18 Years to 130 Years   (Adult, Older Adult)	Not Applicable	11	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NBI-07-001	April 2008	August 2014	August 2014	February 20, 2009	July 18, 2016	February 9, 2017	Cancer Treatment Centers of American Western Regional Medical Center, Goodyear, Arizona, United States|Baylor College of Medicine, Houston, Texas, United States		https://ClinicalTrials.gov/show/NCT00848042
22	NCT02997241	Colon Cancer Treatment Decisions and Recurrence Predicting	CCTDRP	Not yet recruiting	No Results Available	Colonic Neoplasms	Biological: OncoCare|Drug: chemotherapy for colorectal carcinoma	patients treated with chemotherapy based on clinical prognosis compared to Oncocare detection prognosis|the rate of gene copies change from primary detection to recurrence|Overall survival at 5 years	MyGenostics Inc., Beijing|Chinese PLA General Hospital	All	18 Years and older   (Adult, Older Adult)	Not Applicable	500	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Supportive Care	MG-WXu	January 2017	December 2017	September 2022	December 20, 2016		December 20, 2016	Chinese PLA General Hospital, Beijing, Beijing, China		https://ClinicalTrials.gov/show/NCT02997241
23	NCT03832686	Validation of Smartphone App for Head and Neck Cancer Control and Patient Support		Recruiting	No Results Available	Head Neck Cancer	Other: Virtual Coach	Overall adherence to prescribed exercise protocol measured as percentage of prescribed exercises completed|Patient perceived swallowing impairment as measured by the MD Anderson Dysphagia Inventory|Diet level as defined by the Functional Oral Intake Scale|Diet restrictions as measured by the Performance Status Scale Head and Neck|Physiological oropharyngeal swallowing impairment as measured by the Modified Barium Swallow Impairment Profile (MBS-ImP)|Depth of bolus entry into the laryngeal vestibule as measured using the Penetration-Aspiration Scale (PAS)|Severity of impairment of swallowing safety and efficiency as measured using the Dynamic Imaging Grade of Swallowing Toxicity scale	Vibrent Health|Stanford University|Johns Hopkins University|Massachusetts General Hospital	All	18 Years and older   (Adult, Older Adult)	Not Applicable	176	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	HHSN261201700003C_SBIR342	April 24, 2019	October 2019	January 2020	February 6, 2019		May 13, 2019	Stanford Cancer Institute, Palo Alto, California, United States		https://ClinicalTrials.gov/show/NCT03832686
24	NCT03694054	Care Coordination in Oncology, Quality Among Patients With Lung Cancer and Their Caregivers		Completed	No Results Available	Lung Cancer	Other: Care coordination tool	Patient Satisfaction|Caregiver Satisfaction|Patient Quality of Life|Caregiver Quality of Life|Family Centered Care|Patient Experience|Caregiver Burden	Geisinger Clinic|Merck Sharp & Dohme Corp.	All	18 Years and older   (Adult, Older Adult)	Not Applicable	57	Other|Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	2018-0172	June 4, 2018	February 28, 2019	March 31, 2019	October 3, 2018		April 9, 2019	Geisinger Health System, Danville, Pennsylvania, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/54/NCT03694054/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT03694054
25	NCT01446185	Treatment Decision Impact of OncotypeDX™ in HR+, N- Breast Cancer Patients	SWITCH	Completed	No Results Available	Breast Cancer	Device: Oncotype DX breast cancer test	impact of the Oncotype DX Recurrence Score on the treatment recommendation made|Level of confidence of the physicians relating to their treatment recommendation before and after Oncotype DX RS results|Physicians' perceptions regarding the utility of the Oncotype DX.	Genomic Health®, Inc.|Registrat-Mapi	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	100	Industry|Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)	2010-A00577-32	January 2011	February 2012	May 2012	October 5, 2011		April 18, 2013	CHRU Besançon, Besançon, France|Centre Jean Perrin, Clermont-Ferrand, France|Centre Val d'Aurelle, Montpellier, France|Centre Azuréen de Cancérologie, Mougins, France|Centre d'Oncologie Médicale de Gentilly, Nancy, France|Hôpital TENON, Paris, France		https://ClinicalTrials.gov/show/NCT01446185
26	NCT02968784	Focal ExAblate MR-Guided Focused Ultrasound Treatment for Management of Organ-Confined Intermediate Risk Prostate Cancer		Recruiting	No Results Available	Prostate Cancer	Device: ExAblate MRgFUS	The primary efficacy endpoint in this trial measured with whole-gland extended imaging-guided mapping biopsy, is Response scored dichotomously; success vs. failure|Adverse events|Percent of patients with negative biopsy|Quality of Life - urinary symptoms - IPSS questionnaire score|Quality of Life - urinary continence - ICIQ-SF questionnaire score|Quality of Life - sexual function - IIEF-15 questionnaire score|Prostate Specific Antigen (PSA)	InSightec	Male	50 Years and older   (Adult, Older Adult)	Not Applicable	68	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	PCa006	June 2016	June 2022	June 2022	November 21, 2016		May 24, 2019	Toronto General Hospital, Toronto, Ontario, Canada|Shanghai Jiaotong University No.1 Hospital, Shanghai, HongKou District, China|Changhai Hospital of Shanghai, Shanghai, Shanghai, China|Severance Hospital, Yonsei University Health System, Seoul, Korea, Republic of|St. Mary's Hospital, London, United Kingdom		https://ClinicalTrials.gov/show/NCT02968784
27	NCT02064829	Bioequivalence Study of IG-001 Versus Nab-paclitaxel in Metastatic or Locally Recurrent Breast Cancer	TRIBECA	Completed	No Results Available	Metastatic Breast Cancer|Locally Recurrent Breast Cancer	Drug: Nab-paclitaxel|Drug: IG-001	Maximum observed concentration of paclitaxel (Cmax)|Area under the concentration-time curve from time zero to infinite time of paclitaxel (AUC 0-inf)	Sorrento Therapeutics, Inc.	Female	30 Years and older   (Adult, Older Adult)	Not Applicable	111	Industry	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	STI-102	March 2014	February 2015	July 2015	February 17, 2014		March 25, 2016	Sorrento investigational site, Fayetteville, Arkansas, United States|Sorrento investigational site, Chattanooga, Tennessee, United States|Sorrento investigational site, Memphis, Tennessee, United States|Sorrento investigational site, Flower Mound, Texas, United States|Sorrento investigational site, Batumi, Georgia|Sorrento investigational site, Tbilisi, Georgia|Sorrento investigational site, Chisinau, Moldova, Republic of|Sorrento investigational site, Bucharest, Romania|Sorrento investigational site, Belgrade, Serbia|Sorrento investigational site, Kragujevac, Serbia|Sorrento investigational site, Sremska Kamenica, Serbia|Sorrento investigational site, Zrenjanin, Serbia|Sorrento investigational site, Singapore, Singapore|Sorrento investigational site, Cherkasy, Ukraine|Sorrento investigational site, Dnipropetrovsk, Ukraine|Sorrento investigational site, Kharkiv, Ukraine|Sorrento investigational site, Kyiv, Ukraine|Sorrento investigational site, Lviv, Ukraine|Sorrento investigational site, Sumy, Ukraine|Sorrento investigational site, Vinnytsya, Ukraine		https://ClinicalTrials.gov/show/NCT02064829
