Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
111	NCT00949910	An Expanded Access Program of Tarceva (Erlotinib) in Participants With Advanced Non-Small Cell Lung Cancer (NSCLC)		Completed	Has Results	Non-Small Cell Lung Cancer	Drug: Erlotinib	Percentage of Participants With Objective Response According to Response Evaluation Criteria in Solid Tumors (RECIST)|Percentage of Participants With Disease Control According to RECIST|Percentage of Participants by Best Overall Response According to RECIST|Percentage of Participants With Death or Disease Progression According to RECIST|Progression-Free Survival (PFS) According to RECIST|Percentage of Participants Who Died|Overall Survival (OS)	Hoffmann-La Roche	All	18 Years and older   (Adult, Older Adult)	Phase 4	6586	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	MO18109|2004-000564-28|INC-9042	November 2004	April 2009	April 2009	July 31, 2009	October 4, 2016	October 5, 2016	Tirana, Albania|Buenos Aires, Argentina|Buenos Aires, Argentina|Buenos Aires, Argentina|Buenos Aires, Argentina|Buenos Aires, Argentina|Córdoba, Argentina|La Plata, Argentina|Salta, Argentina|Santa Fe, Argentina|Adelaide, Australia|Camperdown, Australia|Chermside, Australia|Frankston, Australia|Fremantle, Australia|Geelong, Australia|Kurralta Park, Australia|Malvern, Australia|Melbourne, Australia|Melbourne, Australia|Perth, Australia|St. Leonards, Australia|Sydney, Australia|Sydney, Australia|Tugun, Australia|Waratah, Australia|Wodonga, Australia|Wollongong, Australia|Bludesch, Austria|Grimmenstein, Austria|Innsbruck, Austria|Klagenfurt, Austria|Kufstein, Austria|Leoben, Austria|Linz, Austria|Linz, Austria|Natters, Austria|Oberpullendorf, Austria|Salzburg, Austria|Wels, Austria|Wien, Austria|Wien, Austria|Wien, Austria|Wien, Austria|Wien, Austria|Zams, Austria|Aalst, Belgium|Antwerpen, Belgium|Antwerpen, Belgium|Antwerpen, Belgium|Arlon, Belgium|Baudour, Belgium|Blankenberge, Belgium|Borgerhout, Belgium|Boussu, Belgium|Brasschaat, Belgium|Bruxelles, Belgium|Bruxelles, Belgium|Bruxelles, Belgium|Bruxelles, Belgium|Bruxelles, Belgium|Charleroi, Belgium|Edegem, Belgium|Genk, Belgium|Gent, Belgium|Gilly, Belgium|Godinne, Belgium|Gosselies, Belgium|Haine-saint-paul, Belgium|Hasselt, Belgium|Kortrijk, Belgium|Libramont, Belgium|Liege, Belgium|Mons, Belgium|Namur, Belgium|Oostende, Belgium|Ottignies, Belgium|Oudenaarde, Belgium|Roeselare, Belgium|Sint-niklaas, Belgium|Tielt, Belgium|Tournai, Belgium|Turnhout, Belgium|Wilrijk, Belgium|Banja Luka, Bosnia and Herzegovina|Sarajevo, Bosnia and Herzegovina|Belo Horizonte, Brazil|Belo Horizonte, Brazil|Belo Horizonte, Brazil|Belo Horizonte, Brazil|Brasilia, Brazil|Brasilia, Brazil|Campinas, Brazil|Campinas, Brazil|Caxias do Sul, Brazil|Curitiba, Brazil|Curitiba, Brazil|Curitiba, Brazil|Fortaleza, Brazil|Fortaleza, Brazil|Fortaleza, Brazil|Ijui, Brazil|Jaú, Brazil|Joao Pessoa, Brazil|Porto Alegre, Brazil|Porto Alegre, Brazil|Porto Alegre, Brazil|Porto Alegre, Brazil|Recife, Brazil|Ribeirao Preto, Brazil|Rio de Janeiro, Brazil|Rio de Janeiro, Brazil|Rio de Janeiro, Brazil|Rio de Janeiro, Brazil|Salvador, Brazil|Salvador, Brazil|Salvador, Brazil|Santos, Brazil|Sao Paulo, Brazil|Sao Paulo, Brazil|Sao Paulo, Brazil|Sao Paulo, Brazil|Sao Paulo, Brazil|Sao Paulo, Brazil|Sao Paulo, Brazil|Sao Paulo, Brazil|Sao Paulo, Brazil|Sao Paulo, Brazil|Sao Paulo, Brazil|Sao Paulo, Brazil|Sorocaba, Brazil|Plovdiv, Bulgaria|Sofia, Bulgaria|Sofia, Bulgaria|Sofia, Bulgaria|Varna, Bulgaria|Santiago, Chile|Beijing, China|Beijing, China|Beijing, China|Beijing, China|Chengdu, China|Guangzhou, China|Guangzhou, China|Hangzhou, China|Harbin, China|Nanjing, China|Shanghai, China|Shanghai, China|Shanghai, China|Tianjin, China|Wuhan, China|Bogota, Colombia|Cali, Colombia|Zagreb, Croatia|Brno, Czech Republic|Hradec Kralove, Czech Republic|Olomouc, Czech Republic|Plzen, Czech Republic|Praha, Czech Republic|Guayaquil, Ecuador|Quito, Ecuador|Cairo, Egypt|Giza, Egypt|Giza, Egypt|Tallin, Estonia|Tartu, Estonia|Haemeenlinna, Finland|Helsinki, Finland|Helsinki, Finland|Joensuu, Finland|Kuopio, Finland|Oulu, Finland|Pori, Finland|Tampere, Finland|Turku, Finland|Vaasa, Finland|Amberg, Germany|Augsburg, Germany|Aurich, Germany|Bad Berka, Germany|Berlin, Germany|Berlin, Germany|Berlin, Germany|Bonn, Germany|Celle, Germany|Dortmund, Germany|Dresden, Germany|Essen, Germany|Flensburg, Germany|Frankfurt Am Main, Germany|Frankfurt, Germany|Freiburg, Germany|Gauting, Germany|Gerlingen, Germany|Giessen, Germany|Grosshansdorf, Germany|Halle (saale), Germany|Hamburg, Germany|Hamburg, Germany|Heidelberg, Germany|Herne, Germany|Homburg/Saar, Germany|Kassel, Germany|Koblenz, Germany|Köln, Germany|Köln, Germany|Leipzig, Germany|Leverkusen, Germany|Lostau, Germany|Löwenstein, Germany|Lübeck, Germany|Mainz, Germany|Mannheim, Germany|Minden, Germany|Muenchen, Germany|Mönchengladbach, Germany|München, Germany|München, Germany|Neuruppin, Germany|Nürnberg, Germany|Oldenburg, Germany|Osnabrück, Germany|Rostock, Germany|Saarbruecken, Germany|Trier, Germany|Ulm, Germany|Wangen, Germany|Wiesbaden, Germany|Wuerselen, Germany|Wuppertal, Germany|Athens, Greece|Athens, Greece|Athens, Greece|Haidari, Greece|Heraklion, Greece|Neo Faliro, Greece|Thessaloniki, Greece|Thessaloniki, Greece|Thessaloniki, Greece|Guatemala City, Guatemala|Hong Kong, Hong Kong|Hong Kong, Hong Kong|Budapest, Hungary|Budapest, Hungary|Budapest, Hungary|Deszk, Hungary|Kecskemet, Hungary|Mátraháza, Hungary|Nyíregyháza, Hungary|Pecs, Hungary|Torokbalint, Hungary|Bangalore, India|New Delhi, India|New Delhi, India|Pune, India|Vellore, India|Jakarta, Indonesia|Cork, Ireland|Dublin, Ireland|Dublin, Ireland|Dublin, Ireland|Dublin, Ireland|Galway, Ireland|Ashkelon, Israel|Beer Sheva, Israel|Haifa, Israel|Haifa, Israel|Holon, Israel|Jerusalem, Israel|Jerusalem, Israel|Kfar Saba, Israel|Nahariya, Israel|Petach Tikva, Israel|Ramat-gan, Israel|Rehovot, Israel|Safed, Israel|Tel Aviv, Israel|Zerifin, Israel|Ancona, Italy|Avellino, Italy|Aviano, Italy|Bari, Italy|Benevento, Italy|Bergamo, Italy|Bollate, Italy|Bologna, Italy|Bologna, Italy|Brescia, Italy|Candiolo, Italy|Catania, Italy|Catanzaro, Italy|Cosenza, Italy|Cuneo, Italy|Fabriano, Italy|Feltre - Bl, Italy|Firenze, Italy|Genova, Italy|La Spezia, Italy|Lido di Camaiore, Italy|Livorno, Italy|Meldola, Italy|Messina, Italy|Milano, Italy|Milano, Italy|Milano, Italy|Mirano, Italy|Modena, Italy|Napoli, Italy|Napoli, Italy|Nuoro, Italy|Orbassano, Italy|Palermo, Italy|Palermo, Italy|Parma, Italy|Pavia, Italy|Perugia, Italy|Pescara, Italy|Pisa, Italy|Rionero in Vulture, Italy|Roma, Italy|Roma, Italy|Roma, Italy|Roma, Italy|Roma, Italy|Roma, Italy|Salerno, Italy|Salerno, Italy|San Giovanni Rotondo, Italy|Sassari, Italy|Siena, Italy|Sondrio, Italy|Taormina, Italy|Torino, Italy|Trento, Italy|Udine, Italy|Bundang City, Korea, Republic of|Busan, Korea, Republic of|Cheonan, Korea, Republic of|Daegu, Korea, Republic of|Daegu, Korea, Republic of|Daegu, Korea, Republic of|Daejeon, Korea, Republic of|Gwangju, Korea, Republic of|Iksan, Korea, Republic of|Incheon, Korea, Republic of|Kyunggi-do, Korea, Republic of|Pusan, Korea, Republic of|Pusan, Korea, Republic of|Pusan, Korea, Republic of|Seoul, Korea, Republic of|Seoul, Korea, Republic of|Seoul, Korea, Republic of|Seoul, Korea, Republic of|Seoul, Korea, Republic of|Seoul, Korea, Republic of|Seoul, Korea, Republic of|Seoul, Korea, Republic of|Seoul, Korea, Republic of|Suwon, Korea, Republic of|Riga, Latvia|Riga, Latvia|Kaunas, Lithuania|Vilnius, Lithuania|Kuala Lumpur, Malaysia|Acapulco, Mexico|Chihuahua, Mexico|Chihuahua, Mexico|Guadalajara, Mexico|Guadalajara, Mexico|Juarez, Mexico|Leon, Mexico|Leon, Mexico|Matamoros, Mexico|Merida, Mexico|Merida, Mexico|Mexicali, Mexico|Mexico City, Mexico|Mexico City, Mexico|Mexico City, Mexico|Mexico City, Mexico|Mexico City, Mexico|Mexico City, Mexico|Mexico City, Mexico|Mexico City, Mexico|Mexico City, Mexico|Mexico City, Mexico|Monterrey, Mexico|Monterrey, Mexico|Monterrey, Mexico|Monterrey, Mexico|Obregon, Mexico|Obregon, Mexico|Puebla, Mexico|San Luis Potosi, Mexico|Tampico, Mexico|Tijuana, Mexico|Toluca, Mexico|Torreon, Mexico|Zapopan, Mexico|'s Hertogenbosch, Netherlands|Alkmaar, Netherlands|Amersfoort, Netherlands|Amstelveen, Netherlands|Amsterdam, Netherlands|Amsterdam, Netherlands|Amsterdam, Netherlands|Amsterdam, Netherlands|Amsterdam, Netherlands|Arnhem, Netherlands|Assen, Netherlands|Beverwijk, Netherlands|Boxmeer, Netherlands|Breda, Netherlands|Capelle Ad Yssel, Netherlands|Den Haag, Netherlands|Drachten, Netherlands|Eindhoven, Netherlands|Enschede, Netherlands|Groningen, Netherlands|Groningen, Netherlands|Haarlem, Netherlands|Harderwijk, Netherlands|Heerlen, Netherlands|Helmond, Netherlands|Hengelo, Netherlands|Hoofddorp, Netherlands|Leiden, Netherlands|Leiderdorp, Netherlands|Maastricht, Netherlands|Nieuwegein, Netherlands|Nijmegen, Netherlands|Roermond, Netherlands|Rotterdam, Netherlands|Sliedrecht, Netherlands|Veldhoven, Netherlands|Venlo, Netherlands|Vlaardingen, Netherlands|Vlissingen, Netherlands|Zaandam, Netherlands|Zwolle, Netherlands|Christchurch, New Zealand|Hamilton, New Zealand|Palmerston North, New Zealand|Wellington, New Zealand|Panama City, Panama|Callao, Peru|Lima, Peru|Lima, Peru|Lima, Peru|Gdansk, Poland|Lublin, Poland|Olsztyn, Poland|Poznan, Poland|Warszawa, Poland|Warszawa, Poland|Wroclaw, Poland|Zabrze, Poland|Lisboa, Portugal|Porto, Portugal|Setubal, Portugal|São Martinho do Bispo, Portugal|Vila Nova de Gaia, Portugal|Alba Iulia, Romania|Baia Mare, Romania|Bucharest, Romania|Bucharest, Romania|Bucharest, Romania|Cluj Napoca, Romania|Oradea, Romania|Sibiu, Romania|Suceava, Romania|Timisoara, Romania|Barnaul, Russian Federation|Kazan, Russian Federation|Kazan, Russian Federation|Krasnodar, Russian Federation|Krasnodar, Russian Federation|Moscow, Russian Federation|Moscow, Russian Federation|Moscow, Russian Federation|Obninsk, Russian Federation|Samara, Russian Federation|Smolensk, Russian Federation|St Petersburg, Russian Federation|St Petersburg, Russian Federation|Stavropol, Russian Federation|Tumen, Russian Federation|Ufa, Russian Federation|Volgograd, Russian Federation|Riyadh, Saudi Arabia|Belgrade, Serbia|Novi Sad, Serbia|Banska Bystrica, Slovakia|Bratislava, Slovakia|Kosice, Slovakia|Nitra, Slovakia|Poprad, Slovakia|Ljubljana, Slovenia|Falun, Sweden|Goeteborg, Sweden|Göteborg, Sweden|Linkoeping, Sweden|Lund, Sweden|Malmoe, Sweden|Stockholm, Sweden|Uppsala, Sweden|Aarau, Switzerland|Aarau, Switzerland|Baden, Switzerland|Chur, Switzerland|Locarno, Switzerland|Luzern, Switzerland|Zürich, Switzerland|Changhua, Taiwan|Kaohsiung, Taiwan|Kaohsiung, Taiwan|Kaohsiung, Taiwan|Taichung, Taiwan|Taichung, Taiwan|Tainan, Taiwan|Tainan, Taiwan|Taipei, Taiwan|Taipei, Taiwan|Taipei, Taiwan|Taipei, Taiwan|Taipei, Taiwan|Taoyuan, Taiwan|Bangkok, Thailand|Bangkok, Thailand|Bangkok, Thailand|Ankara, Turkey|Ankara, Turkey|Ankara, Turkey|Ankara, Turkey|Istanbul, Turkey|Istanbul, Turkey|Istanbul, Turkey|Izmir, Turkey|Izmir, Turkey|Shhiye, Ankara, Turkey|Montevideo, Uruguay|Caracas, Venezuela|Caracas, Venezuela		https://ClinicalTrials.gov/show/NCT00949910
112	NCT01287754	A Study of Tarceva (Erlotinib) in Patients With Locally Advanced or Metastatic Non-small Cell Lung Cancer Who Present EGFR Mutations		Completed	Has Results	Non-Small Cell Lung Cancer	Drug: erlotinib [Tarceva]	Progression-Free Survival (PFS) Among Erlotinib-Treated Participants With the EGFR Mutation|Number of Erlotinib-Treated Participants With the EGFR Mutation With an Objective Response Per RECIST v1.1|Overall Survival (OS) Among Erlotinib-Treated and Untreated Participants|Percentage of Participants Alive at 6 and 12 Months|Percentage of Participants With EGFR Mutation at Screening	Hoffmann-La Roche	All	18 Years and older   (Adult, Older Adult)	Phase 4	24	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ML25575	October 2011	November 2013	November 2013	February 1, 2011	June 2, 2015	June 2, 2015	Helsinki, Finland|Kuopio, Finland|Oulu, Finland|Pori, Finland|Turku, Finland		https://ClinicalTrials.gov/show/NCT01287754
113	NCT02476968	To Assess the Efficacy and Safety of Olaparib Maintenance Monotherapy in the Treatment of Ovarian Cancer	ORZORA	Active, not recruiting	No Results Available	BRCA or HRR+ Mutated Ovarian Cancer Patients	Drug: Olaparib	Time from study enrolment to disease progression (assessed according to RECIST 1.1 guidelines) or death.|Time to death and Time to second progression event or death if this occurs before second progression event.|Time to first and second treatment commencement or death and time to olaparib discontinuation or death.|Functional Assessment of Cancer Therapy-Ovarian (FACT-O), Functional Assessment of Chronic Illness Therapy (FACIT)-Fatigue, and ORZORA QoL Additional Items Questionnaire|Safety summary tables, Functional Living Index-Emesis (FLIE) Questionnaire, and concomitant medication use.	AstraZeneca	Female	18 Years to 130 Years   (Adult, Older Adult)	Phase 4	178	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other	D0816C00012	September 28, 2015	November 22, 2019	November 22, 2019	June 22, 2015		June 24, 2019	Research Site, Plovdiv, Bulgaria|Research Site, Plovdiv, Bulgaria|Research Site, Sofia, Bulgaria|Research Site, Sofia, Bulgaria|Research Site, Sofia, Bulgaria|Research Site, Sofia, Bulgaria|Research Site, Varna, Bulgaria|Research Site, Calgary, Alberta, Canada|Research Site, Halifax, Nova Scotia, Canada|Research Site, London, Ontario, Canada|Research Site, Toronto, Ontario, Canada|Research Site, Montreal, Quebec, Canada|Research Site, Montreal, Quebec, Canada|Research Site, Brno, Czechia|Research Site, Brno, Czechia|Research Site, Novy Jicin, Czechia|Research Site, Olomouc, Czechia|Research Site, Ostrava, Czechia|Research Site, Praha 2, Czechia|Research Site, Praha 5, Czechia|Research Site, Budapest, Hungary|Research Site, Budapest, Hungary|Research Site, Budapest, Hungary|Research Site, Budapest, Hungary|Research Site, Debrecen, Hungary|Research Site, Kecskemét, Hungary|Research Site, Nyíregyháza, Hungary|Research Site, Bari, Italy|Research Site, Milano, Italy|Research Site, Napoli, Italy|Research Site, Perugia, Italy|Research Site, Bialystok, Poland|Research Site, Gdansk, Poland|Research Site, Kielce, Poland|Research Site, Poznan, Poland|Research Site, Poznań, Poland|Research Site, Warszawa, Poland|Research Site, Badalona, Spain|Research Site, Barcelona, Spain|Research Site, Burgos, Spain|Research Site, L'Hospitalet de Llobregat, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, San Cristobal de La Laguna, Spain|Research Site, Sevilla, Spain|Research Site, Valencia, Spain|Research Site, Valencia, Spain|Research Site, Zaragoza, Spain|Research Site, Belfast, United Kingdom|Research Site, Birmingham, United Kingdom|Research Site, Cardiff, United Kingdom|Research Site, Glasgow, United Kingdom|Research Site, Leeds, United Kingdom|Research Site, London, United Kingdom|Research Site, Manchester, United Kingdom|Research Site, Newcastle upon Tyne, United Kingdom|Research Site, Oxford, United Kingdom|Research Site, Swansea, United Kingdom|Research Site, Taunton, United Kingdom|Research Site, Westcliff on Sea, United Kingdom|Research Site, Wirral, United Kingdom		https://ClinicalTrials.gov/show/NCT02476968
114	NCT00122720	The Effect of Darbepoetin Upon Rehabilitation for Colorectal Cancer Surgery		Completed	No Results Available	Colorectal Cancer	Drug: Darbepoetin Alfa	The functional capacity measured by postoperative fatigue, work capacity, balance, and quality of life|Muscular strength|Weight|Body composition|Blood transfusion|Postoperative complications	Herning Hospital|Amgen	All	18 Years and older   (Adult, Older Adult)	Phase 4	200	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double|Primary Purpose: Treatment	2612-2277	June 2003		January 2006	July 22, 2005		July 7, 2006	Surgical Department, Middelfart Hospital, Middelfart, Fyn, Denmark|Surgical Department, Odense University Hospital, Odense, Fyn, Denmark|Surgical Department, Svendborg Hospital, Svendborg, Fyn, Denmark|Surgical Department, Herning Hospital, Herning, Ringkobing, Denmark|Surgical Department, Aarhus University Hospital, Aarhus, Denmark		https://ClinicalTrials.gov/show/NCT00122720
115	NCT00380718	Chemotherapy for Patients With Non-Small Cell Lung Cancer		Completed	Has Results	Non-small Cell Lung Cancer	Drug: pemetrexed	Proportion of Participants With a Complete or Partial Response (Objective Response Rate [ORR])|Proportion of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), and Stable Disease (SD) (Disease Control Rate [DCR])|Overall Survival|Progression-Free Survival (PFS)|Duration of Response|Time to Treatment Failure|Time to Tumor Progression	Eli Lilly and Company	All	18 Years and older   (Adult, Older Adult)	Phase 4	33	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	10720|H3E-MC-JMIC	November 2006	September 2008	November 2009	September 26, 2006	October 6, 2009	November 16, 2010	For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Taichung, Taiwan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Taipei, Taiwan		https://ClinicalTrials.gov/show/NCT00380718
116	NCT01313780	A Study to Evaluate Efficacy and Safety of Oxycodone/Naloxone Compared to OxyContin in Korean Cancer Patients	TOP	Completed	Has Results	Cancer	Drug: Oxycodone/Naloxone|Drug: Oxycodone(single compound)	Change of Pain Intensity From Baseline(visit1) to 4weeks.(visit3)|Change in Bowel Habits.	Mundipharma Korea Ltd	All	20 Years and older   (Adult, Older Adult)	Phase 4	128	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	OXN10-KR-002	May 2011	October 2013	June 2014	March 14, 2011	October 27, 2016	December 22, 2017	AMC, Seoul, Pungnap-dong, Korea, Republic of		https://ClinicalTrials.gov/show/NCT01313780
117	NCT01161563	Randomized Crossover Trial to Assess the Tolerability of Gonadotropin Releasing Hormone (GnRH) Analogue Administration		Completed	Has Results	Prostate Cancer	Drug: Triptorelin pamoate|Drug: Leuprolide acetate	Patient Bother From Injection Site Burning and/or Stinging|Discomfort From Injection	Watson Pharmaceuticals	Male	18 Years and older   (Adult, Older Adult)	Phase 4	118	Industry	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)	TRE1001	July 2010	April 2011	April 2011	July 13, 2010	September 6, 2013	September 6, 2013	Watson Investigational Site, Homewood, Alabama, United States|Watson Investigational Site, Daytona Beach, Florida, United States|Watson Investigational Site, Orange City, Florida, United States|Watson Investigational Site, Coeur D'Alene, Idaho, United States|Watson Investigational Site, Carmel, Indiana, United States|Watson Investigational Site, Jeffersonville, Indiana, United States|Watson Investigational Site, Shreveport, Louisiana, United States|Watson Investigational Site, Las Vegas, Nevada, United States|Watson Investigational Site, Mt Laurel, New Jersey, United States|Watson Investigational Site, Voorhees, New Jersey, United States|Watson Investigational Site, Albany, New York, United States|Watson Investigational Site, Syracuse, New York, United States|Watson Investigational Site, Lancaster, Pennsylvania, United States|Watson Investigational Site, Myrtle Beach, South Carolina, United States|Watson Investigational Site, Dallas, Texas, United States|Watson Investigational Site, Norfolk, Virginia, United States		https://ClinicalTrials.gov/show/NCT01161563
118	NCT00241111	Assessment of the Efficacy, Tolerability and Pharmaco-economic Impact of Zoledronic Acid Treatment in Prostate Cancer With Bone Metastasis		Completed	No Results Available	Prostate Cancer With Bone Metastasis	Drug: zoledronic acid	to assess the effectiveness of Zol in prevention of SREs in stratified groups (hormonal treatment)|to assess the effectiveness of Zol in improving pain and QoL in prostate cancer patients with bone metastases|to assess the safety of ZOL treatment|to assess resources consumption|to assess BM	Novartis Pharmaceuticals|Novartis	Male	18 Years and older   (Adult, Older Adult)	Phase 4	148	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CZOL446EFR04	September 2003	January 2006		October 18, 2005		March 6, 2017			https://ClinicalTrials.gov/show/NCT00241111
119	NCT03202381	Phase IV Study to Evaluate Bone Mineral Density in No-bone Metastatic Prostate Cancer Treated With Degarelix	BLADE	Recruiting	No Results Available	Prostate Cancer	Drug: Degarelix	Changes in fat body mass|changes in bone mineral density|changes in lean body mass|changes in fasting serum lipids|changes in bone turn-over markers|changes in insulin sensitivity|changes in serum follicle stimulating hormone (FSH) levels	Azienda Ospedaliera Spedali Civili di Brescia|Ferring Pharmaceuticals	Male	18 Years and older   (Adult, Older Adult)	Phase 4	35	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other	NP2540-BLADE	June 26, 2017	March 2019	March 2020	June 28, 2017		June 28, 2017	Clinical Department of Urology, university Hospital Spedali Civili di Brescia, Brescia, Italy		https://ClinicalTrials.gov/show/NCT03202381
120	NCT00883675	Safety Study of Adjuvant Docetaxel-Carboplatin Treatment for Resected Lung Cancer		Completed	Has Results	Non-small Cell Lung Cancer	Drug: Docetaxel-Carboplatin	Febrile Neutropenia	Michael Mann|Sanofi|Maestro Clinical, Inc.	All	18 Years and older   (Adult, Older Adult)	Phase 4	133	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	MC#08-002|IIT 12230	May 2009	September 2012	December 2012	April 20, 2009	December 18, 2013	December 18, 2013	Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States|Beijing Chaoyang Hospital, Beijing, China|Beijing Tumor Hospital, Beijing, China|Beijing Youyi Hospital, Beijing, China|China-Japan Friendship Hospital, Beijing, China|Xuanwu Hospital, Beijing, China|First Affiliated Hospital, Guangzhou Medical College, Guangzhou, China|Sun Yat-sen Cancer Center, Guangzhou, China|Shanghai Chest Hopsital, Pulmonary Medicine, Shanghai, China|Shanghai Lung Cancer Center, Shanghai Chest Hospital, Shanghai, China|Shanghai Pulmonary Hospital, Shanghai, China|Tianjin Cancer Center, Tianjin, China		https://ClinicalTrials.gov/show/NCT00883675
121	NCT03423082	Pilot Study to Assess the Potential Clinical Utility of 18F Fluciclovine PET for Cervical and Endometrial Cancer.		Recruiting	No Results Available	Cervical Cancer|Uterine Cancer	Drug: 18F fluciclovine|Device: 18F fluciclovine PET	Lesion metabolic avidity|Optimal imaging window|Fluciclovine PET time-activity curve correlation with histopathologic tumor grading|Textural tumor heterogeneity	Nghi Nguyen|Blue Earth Diagnostics|University of Pittsburgh	Female	18 Years and older   (Adult, Older Adult)	Phase 4	10	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	PRO17120310	December 11, 2018	December 1, 2019	December 30, 2019	February 6, 2018		December 14, 2018	UPMC Presbyterian - MR Research Center, Pittsburgh, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT03423082
122	NCT00372476	Efficacy and Safety of Imatinib and Vinorelbine in Patients With Advanced Breast Cancer	INV181	Completed	No Results Available	Breast Cancer	Drug: Imatinib and Vinorelbine	Maximum tolerated dose (MTD)	Novartis Pharmaceuticals|Novartis	Female	18 Years and older   (Adult, Older Adult)	Phase 4	33	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CSTI571BDE28|2005-001537-15	June 2006	July 2012	July 2012	September 7, 2006		February 7, 2017	Novartis Investigative Site, Kiel, Germany		https://ClinicalTrials.gov/show/NCT00372476
123	NCT00590213	Compare the Value of Prophylactic Versus Therapeutic Breast Radiotherapy in CASODEX	COMART	Completed	No Results Available	Prostate Cancer	Drug: Casodex 150mg|Procedure: Radiotherapy|Procedure: Haematology	To examine the value of prophylactic versus therapeutic breast radiotherapy in Casodex monotherapy induced gynaecomastia and/or breast pain|To examine the tolerability of radiotherapy to male breast|To examine the tolerability of Casodex 150mg in localized and locally advanced prostate cancer patients|To examine the efficacy of Casodex 150mg in prostate cancer patients	AstraZeneca	Male	18 Years and older   (Adult, Older Adult)	Phase 4	125	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	7054TR/01	June 2003			January 10, 2008		January 25, 2008	Research Site, Adana, Turkey|Research Site, Ankara, Turkey|Research Site, Diyarbak?r, Turkey|Research Site, Edirne, Turkey|Research Site, Eskisehir, Turkey|Research Site, Istanbul, Turkey|Research Site, Izmir, Turkey|Research Site, Manisa, Turkey|Research Site, Samsun, Turkey		https://ClinicalTrials.gov/show/NCT00590213
