cleaned_up_drug,class_drug_info,class_umls
Cyclophosphamide,"Agricultural Chemical|Alkylating Agents|Antineoplastic Agents, Alkylating|Antirheumatic Agents|Drug / Therapeutic Agent|Experimental Pesticide|Human Data|Immunosuppressive Agents|Mutagens|Mutation Data|Reproductive Effect|Tumor Data|Unspecified / Unclassified Pesticide|Antineoplastic Agents|Immunologic Factors|Myeloablative Agonists|Noxae",
Cyclophosphamide,"Mutation Data|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Antineoplastic Agents, Alkylating|Antirheumatic Agents|Immunologic Factors|Immunosuppressive Agents|Mutagens|Myeloablative Agonists|Noxae",
Fluorine-18,,
1-amino-3-fluorocyclobutane-1-carboxylic,,
FACBC,,
18F-DCFPyL,,
18F-Fluciclovine,,
CNCT19,,
FPA150,,
Vitamin,,
BTG-002814,,
vandetanib-eluting,,
radiopaque,Contrast Media|Drug / Therapeutic Agent|Mutation Data|Tumor Data|Diagnostic Uses of Chemicals,
ET019002-,,
18F-fluciclovine,,
radium-223,,
lapatinib,Tyrosine Kinase Inhibitors|Antineoplastic Agents|Dual EGFR/erbB2 Inhibitors|Enzyme Inhibitors|Protein Kinase Inhibitors,
ditosylate,,
paclitaxel,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
albumin-stabilized,,
nanoparticle,,
Talimogene,,
laherparepvec,,
Atezolizumab,Antineoplastic Agents,
Cisplatin,Antineoplastic Agents|Cross-Linking Reagents|Drug / Therapeutic Agent|Human Data|Mutation Data|Radiation-Sensitizing Agents|Reproductive Effect|Tumor Data|Indicators and Reagents,
Erlotinib,Enzyme Inhibitors|Protein Kinase Inhibitors,
Trametinib,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
Paclitaxel,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
Durvalumab,,"ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker"
Medi4736,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
pd-1,,
dc-cik,,
DC-NK,,
F-18,,
irinotecan,"Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Antineoplastic Agents|Antineoplastic Agents, Phytogenic|Enzyme Inhibitors|Radiation-Sensitizing Agents|Topoisomerase I Inhibitors|Topoisomerase Inhibitors",
temozolomide,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Mutation Data|Alkylating Agents|Antineoplastic Agents|Noxae",
bevacizumab,"Antineoplastic|Monoclonal Antibody|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Inhibitors|Growth Substances|Antineoplastic Agents, Immunological",
alkylator,,
Denosumab,Bone Density Conservation Agents,
MG/1.7,,
Subcutaneous,,
XGEVA,Bone Density Conservation Agents,
Eluting,,
Transarterial,,
Chemoembolization,,
Nivolumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Sorafenib,Protein Kinase Inhibitors|Antineoplastic Agents|Enzyme Inhibitors,
ET140202-T,,
AB-101,,
Abemaciclib,,"Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors"
LCAR-C182A/LCAR-C182B/LCAR-C182C,,
anti-MESO,,
CLL1-CD33,,
cCAR,,
sunitinib,Protein Kinase Inhibitors|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Inhibitors|Growth Substances|Enzyme Inhibitors,
rapamycin,"Antibiotics, Antineoplastic|Drug / Therapeutic Agent|Immunosuppressive Agents|Mutation Data|Natural Product|Anti-Bacterial Agents|Antifungal Agents|Anti-Infective Agents|Antineoplastic Agents|Immunologic Factors",
CB-03-10,,
Eribulin,Antineoplastic Agents,
Mesylate,,
Trastuzumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
pertuzumab,"Monoclonal Antibody|HER-2-Targeting Antibody|Antineoplastic Agents|Antineoplastic Agents, Immunological",
Ipilimumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Bexarotene,Anticarcinogenic Agents|Antineoplastic Agents|Protective Agents,
Entinostat,Antineoplastic Agents|Enzyme Inhibitors|Histone Deacetylase Inhibitors,
SR-T100,,
Solanum,,
undatum,,
GSK1120212,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
GSK1120212,Antineoplastic Agents,
sorafenib,Protein Kinase Inhibitors|Antineoplastic Agents|Enzyme Inhibitors,
tosylate,,
P15-041,,
Sitravatinib,,
GVAX,,
IMC-CS4,,
Daratumumab,Antineoplastic Agents,
Porfimer,Antineoplastic Agents|Dermatologic Agents|Photosensitizing Agents|Radiation-Sensitizing Agents,
Sodium,,
IFx-Hu2.0,,
Sunitinib,Protein Kinase Inhibitors|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Inhibitors|Growth Substances|Enzyme Inhibitors,
Avelumab,,"ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker"
CD137,,
Interleukin-2,"Analgesics|Analgesics, Non-Narcotic|Antineoplastic Agents|Central Nervous System Agents|Peripheral Nervous System Agents|Sensory System Agents",
Interleukin-2,Anti-HIV Agents|Antineoplastic Agents|Drug / Therapeutic Agent|Anti-Infective Agents|Anti-Retroviral Agents|Antiviral Agents,
ET1402L1-ARTEMIS,,
#NAME?,,
#NAME?,,
Carvedilol,Adrenergic alpha-Antagonists|Antihypertensive Agents|Drug / Therapeutic Agent|Reproductive Effect|Vasodilator Agents|Adrenergic beta-Antagonists|Adrenergic Agents|Adrenergic Antagonists|Cardiovascular Agents|Neurotransmitter Agents|Adrenergic alpha-1 Receptor Antagonists|Antioxidants|Calcium Channel Blockers|Calcium-Regulating Hormones and Agents|Membrane Transport Modulators|Protective Agents,
VM4-037,,
Nicotine,Agricultural Chemical|Ganglionic Stimulants|Human Data|Insecticide|Mutation Data|Natural Product|Nicotinic Agonists|Reproductive Effect|Autonomic Agents|Cholinergic Agents|Cholinergic Agonists|Neurotransmitter Agents|Peripheral Nervous System Agents|Smoking Cessation Agents,
Anti-Smoking,,
Vemurafenib,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
Autologous,,
EBV-CTL,,
SFG-CNA12,,
SFG-CNA8,,
Anti-BCMA,,
BCMA,,
Lenalidomide,Antineoplastic Agents|Growth Substances|Angiogenesis Modulating Agents|Angiogenesis Inhibitors|Immunologic Factors|Growth Inhibitors,
Dexamethasone,"Antiemetics|Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Hormone|Human Data|Mutation Data|Reproductive Effect|Immunomodulator|Adrenal Cortex Hormones|Anti-Inflammatory Agents|Antineoplastic Agents|Autonomic Agents|Central Nervous System Agents|Gastrointestinal Agents|Glucocorticoids|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Peripheral Nervous System Agents",
MEDI-551,,
PU-AD,,
RGD-K5,,
Intra-lesional,,
nivolumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
ODSH,,
Fimepinostat,,
extracorporeal,,
photopheresis,,
Calcipotriene,Dermatologic Agents|Drug / Therapeutic Agent|Human Data|Reproductive Effect,
recMAGE-A3,,
AS15,"Agricultural Chemical|Drug / Therapeutic Agent|Germicide, Bactericide, Disinfectant|Human Data|Mutation Data|Reproductive Effect",
ASCI,,
Doxorubicin,"Antineoplastic Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antibiotics, Antineoplastic|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
CD19-TriCAR-T/SILK,,
MB-CART20.1,,
GPA-TriMAR-T,,
Xylocaine,Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Skin / Eye Irritant,
Xylocaine,"Anesthetics, Local|Anti-Arrhythmia Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Anesthetics|Cardiovascular Agents|Central Nervous System Agents|Central Nervous System Depressants|Peripheral Nervous System Agents|Sensory System Agents|Membrane Transport Modulators|Sodium Channel Blockers|Voltage-Gated Sodium Channel Blockers",
bortezomib,Antineoplastic Agents|Protease Inhibitors|Enzyme Inhibitors,
G-CSF,,BLOOD FORMATION PRODUCTS|Receptor Protein Kinase Interactions|Colony stimulating factors|Leukocyte Growth Factor|Receptor Activity Modifying Protein Agonists
Rituximab,"Antineoplastic Agents|Antirheumatic Agents|Immunologic Factors|Antineoplastic Agents, Immunological",
Bendamustine,"Antineoplastic Agents|Alkylating Agents|Antineoplastic Agents, Alkylating|Noxae",
Spartalizumab,,
Canakinumab,,Interleukin 1 Receptor Antagonists|Interleukin inhibitors|IMMUNE SUPPRESSANTS
Topotecan,Antineoplastic Agents|Enzyme Inhibitors|Antineoplastic|Topoisomerase I Inhibitors|Topoisomerase Inhibitors,
Gadolinium,Tumor Data,
DTPA,Antidotes|Chelating Agents|Iron Chelating Agents|Protective Agents|Sequestering Agents,
Sacituzumab,,
Govitecan,,
Tadalafil,Phosphodiesterase 5 Inhibitors|Enzyme Inhibitors|Phosphodiesterase Inhibitors|Cardiovascular Agents|Vasodilator Agents|Urological Agents,
Ixazomib,Antineoplastic Agents|Enzyme Inhibitors|Protease Inhibitors,
Tasigna,Antineoplastic|Antineoplastic Agents,"Protein kinase inhibitors|Bcr-Abl Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor"
Tasigna,,"Protein kinase inhibitors|Bcr-Abl Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor"
ipilimumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
GAA/TT-peptide,,
vaccine,,
poly-ICLC,Interferon Inducers|Immunologic Factors,
CD19-CD22,,
Anti-CD19/CD22,,
Anti-CD19,,
iCAR,,
Anti-CD22,,
ET190L1-ARTEMIS,,
Romidepsin,"Antibiotics, Antineoplastic|Drug / Therapeutic Agent|Natural Product|Antineoplastic Agents",
Burosumab,,"Other drugs affecting bone structure and mineralization|IMMUNOLOGICAL AGENTS,OTHER"
SNX-5422,,
Paclitaxel+Reparixin,,
DS-8201a,Antineoplastic Agents,
Urelumab,,
AZD2281,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
enzalutamide,,"ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor"
anastrozole,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Enzyme Inhibitors|Aromatase Inhibitors|Antineoplastic Agents|Estrogen Antagonists|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors",
exemestane,"Antineoplastic Agents|Enzyme Inhibitors|Antineoplastic|Aromatase Inhibitors|Estrogen Antagonists|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors",
fulvestrant,"Antineoplastic Agents|Estrogen Antagonists|Antineoplastic Agents, Hormonal|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Estrogen Receptor Antagonists",
MSB0011359C,,
Evofosfamide,,
AGS-1C4D4,,
AB928,,
IPI-549,,
liposomal,,
doxorubicin,"Antineoplastic Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antibiotics, Antineoplastic|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
albumin-bound,,
CTX-471,,
ASG-5ME,,
Ritonavir,Protease Inhibitor|Antiretroviral|Anti-HIV Agents|Anti-Infective Agents|Anti-Retroviral Agents|Antiviral Agents|Enzyme Inhibitors|HIV Protease Inhibitors|Protease Inhibitors|Cytochrome P-450 CYP3A Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Metabolic Side Effects of Drugs and Substances,
Itraconazole,"Antifungal Agents|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Anti-Infective Agents|14-alpha Demethylase Inhibitors|Enzyme Inhibitors|Cytochrome P-450 CYP3A Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors|Metabolic Side Effects of Drugs and Substances",
MEDI-575,,
INCB028060,,
WT2725,,
Triciribine,Mutation Data,
Monohydrate,,
TBI-1401,,
HF10,Mutation Data|Tumor Data|TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
Nab-paclitaxel,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
TS-1,"Antimetabolites, Antineoplastic|Antimetabolites|Antineoplastic Agents|Noxae",
Belinostat,Antineoplastic Agents|Enzyme Inhibitors|Histone Deacetylase Inhibitors,
Warfarin,Agricultural Chemical|Anticoagulants|Human Data|Reproductive Effect|Rodenticide|Rodenticides|Hematologic Agents|Pesticides,
SAR441000,,
Cemiplimab,,"ANTINEOPLASTIC,OTHER"
REGN2810,,
Hydrochloride,Human Data|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data,
Liposome,,
eRapa,,
grapiprant,,
pembrolizumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
R306465,Enzyme Inhibitors|Histone Deacetylase Inhibitors,
PalloV-CC,,
MDV3100,,
AR-67,,
DB-67,,
CVA21/pembrolizumab,,
OMP-21M18,,
M4344,,
Carboplatin,Antineoplastic Agents|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Cross-Linking Reagents|Indicators and Reagents,
TB-403,,
Hu5F9-G4,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Hu5F9-G4,,
Demcizumab,,
Abraxane®,,
Volitinib,,
Docetaxel,Antineoplastic Agents|Drug / Therapeutic Agent|Antimitotic Agents|Mitosis Modulators|Tubulin Modulators,
Docetaxel,Antineoplastic Agents|Tubulin Modulators|Mitosis Modulators|Antimitotic Agents,
GM-CSF,,
Pemetrexed,"Antineoplastic Agents|Enzyme Inhibitors|Antimetabolites|Antimetabolites, Antineoplastic|Folic Acid Antagonists|Noxae|Nucleic Acid Synthesis Inhibitors","Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues"
Pemetrexed,,"Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues"
GB226,,
Fruquintinib,,
Ridaforolimus,,
ODM-201,,
REGN3767,,
cemiplimab,,"ANTINEOPLASTIC,OTHER"
mogamulizumab,Antineoplastic Agents,
MEDI4736,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
tremelimumab,Antineoplastic Agents,
rSIFN-co,,
Anastrozole,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Enzyme Inhibitors|Aromatase Inhibitors|Antineoplastic Agents|Estrogen Antagonists|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors",
AVE0005,,
Binimetinib,,"Protein kinase inhibitors|Protein Kinase Inhibitors|ANTINEOPLASTIC,OTHER"
Oxaliplatin,Drug / Therapeutic Agent|Antineoplastic|Antineoplastic Agents,
Oxaliplatin,Antineoplastic Agents,
Leucovorin,Growth Substances|Micronutrients|Vitamin B Complex|Vitamins|Antidotes|Protective Agents,
5-Fluorouracil,"Antimetabolites|Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antineoplastic Agents|Immunologic Factors|Noxae",
Cabiralizumab,,
nanoparticulate,,
SAR405838,,
Pimasertib,,
Galunisertib,,
HMPL-523,,
SRT501,"Anticarcinogenic Agents|Antimutagenic Agents|Antineoplastic Agents, Phytogenic|Antioxidants|Enzyme Inhibitors|Platelet Aggregation Inhibitors|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Anti-Inflammatory Agents, Non-Steroidal|Antineoplastic Agents|Antirheumatic Agents|Hematologic Agents|Peripheral Nervous System Agents|Protective Agents|Sensory System Agents",
Aflibercept,,
XRP6976,Antineoplastic Agents|Drug / Therapeutic Agent|Antimitotic Agents|Mitosis Modulators|Tubulin Modulators,
XRP6976,Antineoplastic Agents|Tubulin Modulators|Mitosis Modulators|Antimitotic Agents,
Prexasertib,,
Cetuximab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
BAY94-9343,,
mg/kg,,
Enzalutamide,,"ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor"
PCI-32765,Antineoplastic Agents,
enfortumab,,
vedotin,,
Laherparepvec,,
TLD1433,,
photodynamic,,
therapy,,
MCLA-158,,
SHR3680,,
SHR3162,,
REGN421,,
SAR153192,,
E7386,,
Clarithromycin,Drug / Therapeutic Agent|Human Data|Protein Synthesis Inhibitors|Anti-Bacterial Agents|Anti-Infective Agents|Enzyme Inhibitors|Cytochrome P-450 CYP3A Inhibitors|Cytochrome P-450 Enzyme Inhibitors|Metabolic Side Effects of Drugs and Substances,
CYAD-101,,
LY2624587,,
Ramucirumab,Antineoplastic Agents,
Necitumumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Osimertinib,,"Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Cytochrome P450 3A Inhibitors|Breast Cancer Resistance Protein Inhibitors|Cytochrome P450 1A2 Inducers|Kinase Inhibitor|Cytochrome P450 3A4 Inducers|Kinase Inhibitors"
EOC202,,
Brivanib,,
Brivanab,,
JX-594,,
E7389,Antineoplastic Agents,
Exemestane,"Antineoplastic Agents|Enzyme Inhibitors|Antineoplastic|Aromatase Inhibitors|Estrogen Antagonists|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors",
OMP-54F28,,
Nab-Paclitaxel,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
Vantictumab,,
MVT-5873,,
CC-95251,,
GRN163L,Enzyme Inhibitors,
MSC1936369B,,
talazoparib,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
SRF231,,
cis-UCA,,
Entrectinib,Enzyme Inhibitors|Protein Kinase Inhibitors,
TAS-114/capecitabine,,
CPX-351,Antineoplastic Agents,
Cytarabine,"Antimetabolites, Antineoplastic|Antiviral Agents|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Anti-Infective Agents|Antimetabolites|Antineoplastic Agents|Immunologic Factors|Noxae",
INCMGA00012,,
NK012,"Mutation Data|Antineoplastic Agents|Antineoplastic Agents, Phytogenic|Enzyme Inhibitors|Radiation-Sensitizing Agents|Topoisomerase I Inhibitors|Topoisomerase Inhibitors",
5-FU,"Antimetabolites|Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antineoplastic Agents|Immunologic Factors|Noxae",
LY2780301,,
Alecsat,,
LY2523355,,
pegfilgrastim,Antineoplastic Agents|Pegylated Protein,
olaparib,,"Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor"
BLZ-100,,
Xentuzumab,,
Fulvestrant,"Antineoplastic Agents|Estrogen Antagonists|Antineoplastic Agents, Hormonal|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Estrogen Receptor Antagonists",
sphingosine,,
kinase-2,,
inhibitor,,
ABC294640,,
MGAH22,,
Comparator,,
MM-121,,
ABT-888,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
EC20,,
LY900009,,
Escalation,,
PF-03084014,,
Veliparib,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
tivantinib,,
omeprazole,Anti-Ulcer Agents|Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Mutation Data|Reproductive Effect|Gastrointestinal Agents|Proton Pump Inhibitors,
s-warfarin,,
caffeine,Central Nervous System Stimulants|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Phosphodiesterase Inhibitors|Reproductive Effect|Tumor Data|Central Nervous System Agents|Enzyme Inhibitors|Neurotransmitter Agents|Purinergic Agents|Purinergic Antagonists|Purinergic P1 Receptor Antagonists,
digoxin,Anti-Arrhythmia Agents|Cardiotonic Agents|Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Mutation Data|Natural Product|Reproductive Effect|Cardiovascular Agents|Protective Agents,
midazolam,"Adjuvants, Anesthesia|Anesthetics, Intravenous|Drug / Therapeutic Agent|GABA Modulators|Human Data|Mutation Data|Reproductive Effect|Anesthetics|Anesthetics, General|Anti-Anxiety Agents|Central Nervous System Agents|Central Nervous System Depressants|GABA Agents|Hypnotics and Sedatives|Neurotransmitter Agents|Psychotropic Drugs|Tranquilizing Agents",
NEO-PV-01,,
Anetumab,,
ravtansine,,
Liposomal,,
Ad/PNP,,
fludarabine,Antineoplastic Agents|Mutation Data,
monophosphate,,
Herceptin,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
CS-7017,,
LY3076226,,
imexon,,
ES414,,
ARN-509,,
Prednisone,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Adrenal Cortex Hormones|Anti-Inflammatory Agents|Antineoplastic Agents|Glucocorticoids|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists",
FOLFOX,,
AbGn-7,,
ADI-PEG,,
AdV-tk,,
aglatimagene,,
besadenovec,,
valacyclovir,Anti-Infective Agents|Antiviral Agents,
AZD6244,,
Olaparib,,"Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor"
FS118,,
Nerofe,,
CM082,,
TVB-2640,,
TAS3681,,
IMMU-130,,
Telatinib,,
entinostat,Antineoplastic Agents|Enzyme Inhibitors|Histone Deacetylase Inhibitors,
LTX-315,,
IPI-926,,
FPA144,,
mFOLFOX6,,
PF-05082566,,
MK-3475,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
mg/m2,,
AB-16B5,,
AZD8330,,
SHR-1701,,
OCV-103,,
OCV-104,,
ADH300004,,
PWT33597,,
mesylate,,
Dalotuzumab,,
diclofenac,"Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Antirheumatic Agents|Enzyme Inhibitors|Peripheral Nervous System Agents|Sensory System Agents",
TKI258,,
CC-90002,,
Angiocal®,,
PRS-050-PEG40,,
Pyrotinib,,
TRC105,,
chimeric,,
anti-CD105,,
antibody,,
MLN0128,,
trastuzumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
MEDI3726,,
Post-Chemo,,
Pre-Chemo,,
Combo,,
CPGJ602,,
MKC-1,,
ETBX-021,,
TRC093,,
IgG1k,,
AZD2014,,
PF-04554878,,
BBI608,,
Levofolinate,,
chemotherapy,,
MEN1611,,
Caffeine,Central Nervous System Stimulants|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Phosphodiesterase Inhibitors|Reproductive Effect|Tumor Data|Central Nervous System Agents|Enzyme Inhibitors|Neurotransmitter Agents|Purinergic Agents|Purinergic Antagonists|Purinergic P1 Receptor Antagonists,
Dextromethorphan,Antitussive Agents|Drug / Therapeutic Agent|Excitatory Amino Acid Antagonists|Human Data|Central Nervous System Agents|Excitatory Amino Acid Agents|Neurotransmitter Agents|Respiratory System Agents,
CRA-24781,,
Amphinex,,
TPCS2a,,
Bleomycin,"Antibiotics, Antineoplastic|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antineoplastic Agents",
enzastaurin,,
hydrochloride,Human Data|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data,
Afuresertib,,
Ibrutinib,Antineoplastic Agents,
SOM230,"Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists",
ALT-P7,,
HM2-MMAE,,
BEZ235,Antineoplastic|Antineoplastic Agents,
AZD5438,,
carboplatin,Antineoplastic Agents|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Cross-Linking Reagents|Indicators and Reagents,
BP-C1,,
Tivozanib,,
AV-951,,
FOLFOX6,,
EC1456,,
99mTc-Etarfolatide,,
ABT-263,Antineoplastic Agents,
IMGN853,,
FS-1502,,
