NCT01253213	BR55
NCT00732056	GRN163L
NCT00982865	MSC1936369B
NCT03343054	talazoparib
NCT03512340	SRF231
NCT01458847	cis-UCA
NCT02650401	Entrectinib
NCT02025803	TAS-114/capecitabine
NCT00389428	CPX-351
NCT00389428	Cytarabine
NCT03059823	INCMGA00012
NCT01238939	NK012
NCT01238939	5-FU
NCT01115751	LY2780301
NCT01984658	Alecsat
NCT01214629	LY2523355
NCT01214629	pegfilgrastim
NCT01813474	olaparib
NCT02097875	BLZ-100
NCT03099174	Xentuzumab
NCT03099174	Abemaciclib
NCT03099174	Letrozole
NCT03099174	Anastrozole
NCT03099174	Fulvestrant
NCT02069145	OMP-54F28
NCT02069145	Sorafenib
NCT01488513	sphingosine
NCT01488513	kinase-2
NCT01488513	inhibitor
NCT01488513	ABC294640
NCT01148849	MGAH22
NCT00106145	Comparator
NCT00106145	Comparator
NCT00106145	Comparator
NCT00106145	Comparator
NCT00106145	Comparator
NCT02496065	BLZ-100
NCT01209195	MM-121
NCT01209195	Paclitaxel
NCT01085422	ABT-888
NCT01085422	temozolomide
NCT01686256	EC20
NCT01158404	LY900009
NCT01158404	Escalation
NCT01158404	LY900009
NCT02363855	ODM-201
NCT00878189	PF-03084014
NCT01123876	Veliparib
NCT01517399	tivantinib
NCT01517399	omeprazole
NCT01517399	s-warfarin
NCT01517399	caffeine
NCT01517399	digoxin
NCT01517399	midazolam
NCT03380871	NEO-PV-01
NCT03380871	Pembrolizumab
NCT03380871	Carboplatin
NCT03380871	Pemetrexed
NCT02751918	Anetumab
NCT02751918	ravtansine
NCT02751918	BAY94-9343
NCT02751918	Liposomal
NCT02751918	Doxorubicin
NCT01973309	Vantictumab
NCT01973309	paclitaxel
NCT01310179	Ad/PNP
NCT01310179	fludarabine
NCT01310179	monophosphate
NCT00372424	Herceptin
NCT00372424	Sunitinib
NCT01214642	pegfilgrastim
NCT01214642	LY2523355
NCT00408434	CS-7017
NCT02529553	LY3076226
NCT00327223	imexon
NCT02262910	ES414
NCT01792687	ARN-509
NCT01792687	Prednisone
NCT00599924	sunitinib
NCT00599924	FOLFOX
NCT01466569	AbGn-7
NCT01948843	ADI-PEG
NCT03131037	AdV-tk
NCT03131037	aglatimagene
NCT03131037	besadenovec
NCT03131037	valacyclovir
NCT00463814	AZD6244
NCT03553108	Olaparib
NCT03553108	Olaparib
NCT03553108	Olaparib
NCT03553108	Olaparib
NCT03440437	FS118
NCT01690741	Nerofe
NCT01863485	CM082
NCT02223247	TVB-2640
NCT02566772	TAS3681
NCT01270698	IMMU-130
NCT03175497	Telatinib
NCT03175497	Mesylate
NCT00379639	Romidepsin
NCT00379639	Gemcitabine
NCT00207051	Brivanib
NCT00207051	Cetuximab
NCT02820961	entinostat
NCT02820961	exemestane
NCT01986426	LTX-315
NCT01986426	LTX-315
NCT01986426	LTX-315
NCT01986426	ipilimumab
NCT01986426	LTX-315
NCT01986426	pembrolizumab
NCT00761696	IPI-926
NCT03343301	FPA144
NCT03343301	mFOLFOX6
NCT02179918	PF-05082566
NCT02179918	MK-3475
NCT03757754	mg/m2
NCT03757754	mg/m2
NCT03757754	mg/m2
NCT03757754	mg/m2
NCT03757754	mg/m2
NCT03757754	mg/m2
NCT02412462	AB-16B5
NCT00454090	AZD8330
NCT03710265	SHR-1701
NCT01801930	OCV-103
NCT01801930	OCV-104
NCT00264446	ADH300004
NCT03774979	SHR-1701
NCT01407380	PWT33597
NCT01407380	mesylate
NCT01220570	Ridaforolimus
NCT01220570	Dalotuzumab
NCT01220570	Ridaforolimus
NCT01220570	Dalotuzumab
NCT01596647	caffeine
NCT01596647	diclofenac
NCT01596647	omeprazole
NCT01596647	midazolam
NCT01596647	TKI258
NCT02367196	CC-90002
NCT02367196	Rituximab
NCT01141257	Angiocal®
NCT01141257	PRS-050-PEG40
NCT01937689	Pyrotinib
NCT01635712	SNX-5422
NCT00582985	TRC105
NCT00582985	chimeric
NCT00582985	anti-CD105
NCT00582985	antibody
NCT01351350	MLN0128
NCT01351350	paclitaxel
NCT01351350	trastuzumab
NCT02462629	BLZ-100
NCT02991911	MEDI3726
NCT02991911	Post-Chemo
NCT02991911	MEDI3726
NCT02991911	Pre-Chemo
NCT02991911	MEDI3726
NCT02991911	Enzalutamide
NCT02991911	Combo
NCT03356158	CPGJ602
NCT03356158	Cetuximab
NCT00656461	MKC-1
NCT02751528	ETBX-021
NCT00492830	TRC093
NCT00492830	IgG1k
NCT00492830	antibody
NCT01611623	SNX-5422
NCT01597388	AZD2014
NCT01597388	Fulvestrant
NCT00787033	PF-04554878
NCT02641873	BBI608
NCT02641873	5-FU
NCT02641873	Irinotecan
NCT02641873	Levofolinate
NCT02641873	Bevacizumab
NCT00711191	antibody
NCT00711191	chemotherapy
NCT03767335	MEN1611
NCT03767335	Trastuzumab
NCT03767335	Fulvestrant
NCT02225093	Caffeine
NCT02225093	Dextromethorphan
NCT02225093	Enzalutamide
NCT00473577	CRA-24781
NCT00993512	Amphinex
NCT00993512	TPCS2a
NCT00993512	Bleomycin
NCT00550927	bevacizumab
NCT00550927	enzastaurin
NCT00550927	hydrochloride
NCT02240212	Afuresertib
NCT02240212	Paclitaxel
NCT03379428	Trastuzumab
NCT03379428	Ibrutinib
NCT03379428	Ibrutinib
NCT03379428	Ibrutinib
NCT03950570	Paclitaxel
NCT01646684	SOM230
NCT03281824	ALT-P7
NCT03281824	HM2-MMAE
NCT01634061	BEZ235
NCT01634061	BKM120
NCT00088790	AZD5438
NCT01238952	NK012
NCT01238952	carboplatin
NCT01861509	BP-C1
NCT00660153	Tivozanib
NCT00660153	AV-951
NCT00660153	FOLFOX6
NCT03011320	EC1456
NCT03011320	99mTc-Etarfolatide
NCT00891605	ABT-263
NCT00891605	paclitaxel
NCT01609556	IMGN853
NCT03944499	FS-1502
NCT02124148	Prexasertib
NCT02124148	Cisplatin
NCT02124148	Cetuximab
NCT02124148	G-CSF
NCT02124148	Pemetrexed
NCT02124148	Fluorouracil
NCT02124148	LY3023414
NCT02124148	Leucovorin
NCT01201018	Oshadi
NCT01201018	Oshadi
NCT00734305	MM-121
NCT02592317	Pioglitazone
NCT02592317	Rosuvastatin
NCT01273493	Trabectedin
NCT01273493	Dexamethasone
NCT00900614	APR-246
NCT03847168	KN026
NCT02582827	ABI-011
NCT01629758	Denenicokin
NCT01629758	Nivolumab
NCT03646071	RX108
NCT00359190	lapatinib
NCT01048580	Perifosine
NCT01048580	Capecitabine
NCT03396211	Apatinib
NCT03396211	rivoceranib
NCT03396211	Nivolumab
NCT01922752	CEP-37440
NCT00793897	BMS-754807
NCT00793897	Paclitaxel
NCT00793897	Carboplatin
NCT02391194	AVB-620
NCT00650910	lapatinib
NCT00650910	Digoxin
NCT00055263	DN-101
NCT00629057	MVA-BN-PRO
NCT03505528	Nanoparticle
NCT03505528	albumin-bound
NCT03505528	paclitaxel
NCT03505528	Phenelzine
NCT00146172	neratinib
NCT00165802	E7974
NCT00379561	PSA-Activated
NCT00379561	PSA-PAH1
NCT00790816	Lapatinib
NCT00790816	anti-cancer
NCT00790816	Lapatinib
NCT00790816	Lapatinib
NCT00790816	anti-cancer
NCT00515866	KU-0059436
NCT00515866	AZD2281
NCT00515866	PARP
NCT00515866	inhibitor
NCT00515866	Gemcitabine
NCT01969643	SGN-LIV1A
NCT01969643	Trastuzumab
NCT03589651	INCMGA00012
NCT03589651	Epacadostat
NCT03589651	INCB050465
NCT00130169	E7974
NCT01186484	JNJ-212082
NCT03235570	Pemigatinib
NCT01602406	LJM716
NCT01602406	Trastuzumab
NCT03654547	TT-00420
NCT03119428	OMP-313M32
NCT03119428	Nivolumab
NCT02745743	BAY1251152
NCT00710268	AZD2281
NCT00710268	Bevacizumab
NCT02654938	Mobilan
NCT02654938	M-VM3
NCT04042701	Trastuzumab
NCT04042701	deruxtecan
NCT04042701	DS-8201a
NCT04042701	Pembrolizumab
NCT00016874	cisplatin
NCT00016874	paclitaxel
NCT00016874	triapine
NCT01181245	FG-3019
NCT01152398	MVA-BN-HER2
NCT02123758	Prednisone
NCT02123758	JNJ-56021927
NCT02054351	IMAB027
NCT02684032	Gedatolisib
NCT02684032	Palbociclib
NCT02684032	Letrozole
NCT02684032	Fulvestrant
NCT03264664	E7386
NCT01162395	AZD3514
NCT01613950	AUY922
NCT01613950	BYL719
NCT01422850	ALECSAT
NCT03006172	GDC-0077
NCT03006172	Fulvestrant
NCT03006172	Letrozole
NCT03006172	Palbociclib
NCT03006172	Metformin
NCT03888612	ARV-110
NCT01324492	RAD001
NCT01957735	BP31510
NCT01957735	monotherapy
NCT01957735	BP31510
NCT01957735	chemotherapy
NCT00681967	Gefitinib
NCT00736372	PX-12
NCT03822871	CTT1403
NCT03822871	CTT1057
NCT03822871	68Ga-PSMA-11
NCT00061867	liposomal
NCT00061867	hydrochloride
NCT02978755	GM102
NCT02978755	Paclitaxel
NCT02978755	carboplatin
NCT01011972	XMT-1107
NCT02499146	Palbociclib
NCT02499146	Letrozole
NCT01004380	Farletuzumab
NCT01004380	Carboplatin
NCT01927965	Minnelide™
NCT01058707	MLN0128
NCT01524224	LY2495655
NCT03473639	Entinostat
NCT03473639	Capecitabine
NCT00910754	Prednisone
NCT00107094	Abraxane
NCT03986606	PSB205
NCT02215096	GSK2636771
NCT02215096	Enzalutamide
NCT00503412	AZD2171
NCT03639194	ABBV-011
NCT03639194	ABBV-181
NCT03255070	ARX788
NCT03429101	Poziotinib
NCT03429101	T-DM1
NCT01248949	MEDI3617
NCT01248949	Bevacizumab
NCT01248949	Paclitaxel
NCT01248949	Carboplatin
NCT03790488	JTX-4014
NCT03619681	KN026
NCT01920061	PF-05212384
NCT01920061	gedatolisib
NCT01920061	Docetaxel
NCT01920061	Cisplatin
NCT01920061	Dacomitinib
NCT02625857	JNJ-64041809
NCT02625857	JNJ-64041809
NCT03138538	M8891
NCT00891345	ALECSAT
NCT03916744	GDC-9545
NCT03800836	Ipatasertib
NCT03800836	Paclitaxel
NCT03800836	Atezolizumab
NCT03800836	Nab-Paclitaxel
NCT02204033	hMAb
NCT02204033	BIWA
NCT02204033	hMAb
NCT02204033	BIWA
NCT02204033	unlabelled
NCT02204033	hMAb
NCT02204033	BIWA
NCT02204033	unlabelled
NCT02204033	hMAb
NCT02204033	BIWA
NCT02204033	unlabelled
NCT02204033	hMAb
NCT02204033	BIWA
NCT01195311	INCB024360
NCT00485277	MVA-BN-HER2
NCT00832819	E7080
NCT00832819	Paclitaxel
NCT00832819	Carboplatin
NCT02623751	KHK2375
NCT02623751	Exemestane
NCT03487055	TK006
NCT03816839	SAR439859
NCT00329368	EC90
NCT00329368	KLH-FITC
NCT00329368	GPI-0100
NCT00329368	EC17
NCT00329368	Folate-FITC
NCT00329368	Interleukin-2
NCT00329368	Interferon-alpha
NCT01857193	LEE011
NCT01857193	Exemestane
NCT01857193	Everolimus
NCT00423410	EPC2407
NCT00423410	crinobulin
NCT00462956	Tykerb
NCT03308201	Hemay022
NCT03308201	exemestane
NCT03376503	Pegfilgrastim
NCT01653158	CP-751,871
NCT01653158	Docetaxel
NCT00882180	ALN-VSP02
NCT01256567	Ramucirumab
NCT01256567	Docetaxel
NCT02972034	MK-8353
NCT02972034	Pembrolizumab
NCT03927573	GEM3PSCA
NCT02622074	Pembrolizumab
NCT02622074	Nab-paclitaxel
NCT02622074	Anthracycline
NCT02622074	doxorubicin
NCT02622074	Cyclophosphamide
NCT02622074	Carboplatin
NCT02622074	Paclitaxel
NCT03225105	M3541
NCT03451162	DHES0815A
NCT03471663	D-0502
NCT03471663	palbociclib
NCT00352131	HuC242-DM4
NCT01097460	MM-111
NCT01097460	Herceptin
NCT04047290	AK112
NCT01340040	MEDI-573
NCT00772876	P1446A-05
NCT00722293	Doxorubicin
NCT00722293	Pazopanib
NCT00722293	GW786034
NCT00722293	Epirubicin
NCT03065010	BCD-115
NCT02162836	JNJ-56021927
NCT00707707	AZD2281
NCT00707707	Paclitaxel
NCT01741727	ABT-414
NCT01364415	Pasireotide
NCT01088464	IMC-11F8
NCT02029729	omaveloxolone
NCT03098550	Nivolumab
NCT03098550	Daratumumab
NCT02508532	Avapritinib
NCT01384799	CUDC-101
NCT01384799	Cisplatin
NCT01186601	BAY94-9392
NCT03959891	Ipatasertib
NCT03959891	Fulvestrant
NCT03959891	Aromatase
NCT03959891	Inhibitor
NCT03959891	Palbociclib
NCT01664728	Glucocorticoid
NCT02677116	Olaratumab
NCT02677116	Doxorubicin
NCT02677116	Vincristine
NCT02677116	Irinotecan
NCT02677116	Ifosfamide
NCT02688088	Abemaciclib
NCT00058526	Immunotherapeutic
NCT00058526	SB719125
NCT03616587	AZD9833
NCT03616587	AZD9833
NCT03616587	palbociclib
NCT00510445	Imetelstat
NCT00510445	Sodium
NCT00510445	GRN163L
NCT03425773	BVAC-B
NCT03226574	Resiniferatoxin
NCT02678260	PDR001
NCT01423903	OPB-51602
NCT03307629	NOX66
NCT01097512	AS703569/gemcitabine
NCT00426140	Patupilone
NCT03720678	AB928
NCT03720678	mFOLFOX
NCT03153163	Trastuzumab
NCT03153163	Emtansine
NCT02182245	Paclitaxel
NCT02182245	Carboplatin
NCT01226485	LY2940680
NCT03332797	GDC-9545
NCT03332797	Palbociclib
NCT03332797	LHRH
NCT02316509	GDC-0927
NCT02663518	TTI-621
NCT02663518	TTI-621
NCT02663518	Rituximab
NCT02663518	TTI-621
NCT02663518	Nivolumab
NCT01872260	LEE011
NCT01872260	Letrozole
NCT01872260	BYL719
NCT03150056	GSK525762
NCT03150056	Abiraterone
NCT03150056	Enzalutamide
NCT03150056	Prednisone
NCT02092363	OMP-54F28
NCT02092363	Paclitaxel
NCT02092363	Carboplatin
NCT03557619	Venetoclax
NCT03557619	ethinyl
NCT03557619	estradiol/levonorgestrel
NCT02057133	LY2835219
NCT02057133	Letrozole
NCT02057133	Anastrozole
NCT02057133	Tamoxifen
NCT02057133	Exemestane
NCT02057133	Everolimus
NCT02057133	Trastuzumab
NCT02057133	LY3023414
NCT02057133	Fulvestrant
NCT02057133	Pertuzumab
NCT02057133	Loperamide
NCT02057133	therapy
NCT03594422	HQP1351
NCT03213054	OBP-301
NCT01895491	VM206DNA
NCT01895491	VM206Ad
NCT00398814	Perifosine
NCT00398814	Sorafenib
NCT03799003	ASP1951
NCT01463631	LY3007113
NCT02329847	Ibrutinib
NCT02329847	Nivolumab
NCT02088684	LEE011
NCT02088684	BYL719
NCT02088684	fulvestrant
NCT02088684	BKM120
NCT01099644	I-8H9
NCT02326441	KX2-361
NCT01723475	BAY2010112
NCT03082209	ABBV-621
NCT03082209	Venetoclax
NCT03082209	Bevacizumab
NCT03082209	FOLFIRI
NCT02980341	U3-1402
NCT03910530	INCMGA00012
NCT03910530	INCB001158
NCT03910530	INCMGA00012
NCT03910530	INCB001158
NCT02999477	Pembrolizumab
NCT02999477	Nab-Paclitaxel
NCT03955939	LY3295668
NCT03955939	Erbumine
NCT03955939	therapy
NCT03955939	Midazolam
NCT02221882	LY3164530
NCT00034463	ALIMTA
NCT00034463	folic
NCT04020575	huMNC2-CAR44
NCT04020575	huMNC2-CAR44
NCT04020575	RP2D
NCT01471847	BEZ235
NCT01471847	Trastuzumab
NCT01471847	l/Phase
NCT01471847	Lapatinib
NCT01471847	Capecitabine
NCT02097810	Entrectinib
NCT00401765	CNTO
NCT00401765	Docetaxel
NCT03152370	E7046
NCT03152370	capecitabine
NCT03152370	folinic
NCT03152370	acid/5-FU/oxaliplatin
NCT03152370	mFOLFOX-6
NCT00298779	omeprazole
NCT00298779	bortezomib
NCT03328494	BOS172722
NCT03328494	Paclitaxel
NCT02254005	bivatuzumab
NCT02254005	mertansine
NCT02364492	MAG-TN3
NCT02364492	AS15
NCT01497925	ADI-PEG
NCT03720431	TTAC-0001
NCT03720431	pembrolizumab
NCT00992745	123-I-MIP-1072
NCT00992745	111-In
NCT00992745	capromab
NCT00992745	pendetide
NCT00960557	Combretastatin
NCT00960557	Diphosphate
NCT00960557	OXi4503
NCT00046423	ABI-007
NCT01017939	Prednisone
NCT01017939	Dextromethorphan
NCT01017939	hydrobromide
NCT01017939	Theophylline
NCT03102320	Cisplatin
NCT03102320	Gemcitabine
NCT03102320	Anetumab
NCT03102320	ravtansine
NCT03102320	BAY94-9343
NCT03891615	Niraparib
NCT03891615	Osimertinib
NCT01287520	LY2090314
NCT01287520	pemetrexed
NCT01287520	Carboplatin
NCT00496509	ZD6474
NCT00496509	Zactima
NCT00496509	ZD6474
NCT00496509	Zactima
NCT01722825	LY2157299
NCT00367471	lapatinib
NCT00367471	carboplatin
NCT00367471	trastuzumab
NCT00367471	paclitaxel
